# SHEtoken WEI Live Scores — Week 2026-W19
# Generated: 2026-05-04T06:38:29.949153+00:00
# 90% baseline annual data + 10% weekly news signal adjustment
# Full methodology: wei-index/methodology.md
#
rank,country,iso_code,region,tier,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,population_weight,ticker,year,wei_version,data_source,verified,notes,wei_score_baseline,wei_score_live,signal_count_this_week,last_signal_week,wei_data_type
1,Iceland,ISL,Europe,1,0.4,95,98,88,97,96,92,92,95,8,93.4,1.0,SHE-ISL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,93.4,93.4,0,,baseline
2,Norway,NOR,Europe,1,5.4,93,97,86,98,95,91,91,94,8,92.4,1.0,SHE-NOR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,92.4,92.4,0,,baseline
3,Finland,FIN,Europe,1,5.5,92,98,85,97,94,90,90,93,8,91.6,1.0,SHE-FIN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,91.6,91.6,0,,baseline
4,Sweden,SWE,Europe,1,10.4,91,97,87,97,95,89,91,94,10,91.6,1.0,SHE-SWE,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,91.6,91.6,0,,baseline
5,Denmark,DNK,Europe,1,5.9,89,96,85,96,93,88,90,92,9,90.2,1.0,SHE-DNK,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,90.2,90.2,0,,baseline
6,New Zealand,NZL,Oceania,1,5.1,88,97,83,96,92,87,88,90,13,88.8,1.0,SHE-NZL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,88.8,88.8,0,,baseline
7,Luxembourg,LUX,Europe,1,0.6,84,96,82,97,90,86,88,90,11,87.8,1.0,SHE-LUX,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,87.8,87.8,0,,baseline
8,Netherlands,NLD,Europe,1,17.5,84,96,82,97,90,85,88,90,12,87.6,1.0,SHE-NLD,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,87.6,87.6,0,,baseline
9,Switzerland,CHE,Europe,1,8.7,83,96,82,97,89,84,88,88,10,87.2,1.0,SHE-CHE,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,87.2,87.2,0,,baseline
10,Canada,CAN,N. America,1,38.2,85,97,80,96,91,84,87,90,14,87.2,1.0,SHE-CAN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,87.2,87.2,0,,baseline
