# SHEtoken WEI Live Scores — Week 2026-W19
# Generated: 2026-05-04T06:38:29.997221+00:00
# 90% baseline annual data + 10% weekly news signal adjustment
# Full methodology: wei-index/methodology.md
#
rank,state,state_code,ticker,region,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,previous_wei_score,change,hot,watch,feminist_emergency,country,year,wei_version,verified,notes,wei_score_baseline,signal_count_this_week,wei_data_type
1,Mexico City,CDMX,SHE-MX-CDMX,Center,9.2,68,88,64,80,72,62,64,76,38,67.7,67.1,0.6,true,false,true,Mexico,2025,3.0,false,,67.7,0,baseline
2,Nuevo Leon,NL,SHE-MX-NL,North,5.8,62,86,64,78,62,58,60,70,36,63.5,63.1,0.4,false,false,false,Mexico,2025,3.0,false,,63.5,0,baseline
3,Jalisco,JA,SHE-MX-JA,West,8.4,58,84,58,76,60,54,58,64,42,59.4,59.4,0.0,false,false,false,Mexico,2025,3.0,false,,59.4,0,baseline
4,Coahuila,CO,SHE-MX-CO,North,3.2,58,84,58,76,58,52,56,62,38,58.8,58.8,0.0,false,false,false,Mexico,2025,3.0,false,,58.8,0,baseline
5,Yucatan,YU,SHE-MX-YU,South,2.3,52,80,52,74,60,56,58,58,28,58.2,57.7,0.5,true,false,false,Mexico,2025,3.0,false,,58.2,0,baseline
6,Sonora,SO,SHE-MX-SO,North,3.1,56,82,56,74,56,50,54,60,40,56.6,56.6,0.0,false,false,false,Mexico,2025,3.0,false,,56.6,0,baseline
7,Queretaro,QT,SHE-MX-QT,Center,2.4,52,82,54,76,54,52,54,60,34,56.6,56.6,0.0,true,false,false,Mexico,2025,3.0,false,,56.6,0,baseline
8,Aguascalientes,AG,SHE-MX-AG,Center,1.4,52,82,52,74,54,50,52,58,36,55.3,55.3,0.0,false,false,false,Mexico,2025,3.0,false,,55.3,0,baseline
9,Baja California,BC,SHE-MX-BC,North,3.8,52,80,54,72,54,48,52,58,42,54.1,54.1,0.0,false,false,false,Mexico,2025,3.0,false,,54.1,0,baseline
10,Chihuahua,CH,SHE-MX-CH,North,3.8,52,80,52,72,52,44,50,56,48,52.0,52.0,0.0,false,true,false,Mexico,2025,3.0,false,,52.0,0,baseline
11,Hidalgo,HI,SHE-MX-HI,Center,3.1,46,76,44,70,54,50,50,50,28,52.0,52.0,0.0,false,false,false,Mexico,2025,3.0,false,,52.0,0,baseline
12,San Luis Potosi,SL,SHE-MX-SL,Center,2.8,48,78,48,72,52,48,50,54,40,51.9,51.9,0.0,false,false,true,Mexico,2025,3.0,false,,51.9,0,baseline
