# SHEtoken Gender Poverty Index (GPI) — 2025
# GPI measures gender equality across 9 economic dimensions
# Score 100=equality, 50=women half of men, 0=total exclusion
# Simple average GPI across all countries: 57.6
# Sources: World Bank, FAO, ILO, OECD, Credit Suisse, ICRW
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,gpi_score,gpi_income_poverty,gpi_wealth,gpi_wage,gpi_labour_participation,gpi_financial_inclusion,gpi_food_security,gpi_time_poverty,gpi_land_ownership,gpi_social_protection,income_poverty_ratio_f_to_m,wealth_ratio_f_to_m_pct,wage_ratio_f_to_m_pct,labour_ratio_f_to_m_pct,food_insecurity_gap_pct,unpaid_care_hours_ratio_f_to_m,female_land_ownership_pct,year
1,Sweden,SWE,Europe,91.4,98.0,79,87,83,99,97.5,92.2,90,97,1.02,79,87,83,0.5,1.7,45,2025
2,Iceland,ISL,Europe,91.1,98.0,78,88,84,98,97.5,91.1,88,97,1.02,78,88,84,0.5,1.8,44,2025
3,Norway,NOR,Europe,89.8,97.0,76,86,82,98,97.0,90.0,86,96,1.03,76,86,82,0.6,1.9,43,2025
4,Finland,FIN,Europe,88.4,96.0,74,84,80,98,96.0,87.8,84,96,1.04,74,84,80,0.8,2.1,42,2025
5,Germany,DEU,Europe,85.2,92.0,70,78,75,98,94.0,84.4,80,95,1.08,70,78,75,1.2,2.4,40,2025
6,Canada,CAN,N. America,85.1,90.0,68,76,78,98,95.0,86.7,80,94,1.1,68,76,78,1.0,2.2,40,2025
7,Australia,AUS,Oceania,82.7,88.0,66,72,74,98,94.0,83.3,76,93,1.12,66,72,74,1.2,2.5,38,2025
8,UK,GBR,Europe,82.6,86.0,65,74,75,98,94.0,84.4,74,93,1.14,65,74,75,1.2,2.4,37,2025
9,USA,USA,N. America,80.3,82.0,62,74,74,94,92.5,82.2,72,90,1.18,62,74,74,1.5,2.6,36,2025
10,Japan,JPN,East Asia,77.3,95.0,65,74,62,97,97.5,68.9,44,92,1.05,65,74,62,0.5,3.8,22,2025
11,South Korea,KOR,East Asia,74.4,94.0,60,66,58,97,96.0,72.2,36,90,1.06,60,66,58,0.8,3.5,18,2025
12,China,CHN,East Asia,74.0,72.0,58,78,72,78,90.0,80.0,56,82,1.28,58,78,72,2.0,2.8,28,2025
13,Thailand,THA,SE Asia,72.2,78.0,52,82,64,78,87.5,80.0,48,80,1.22,52,82,64,2.5,2.8,24,2025
14,Philippines,PHL,SE Asia,67.1,78.0,48,78,62,62,84.0,75.6,52,64,1.22,48,78,62,3.2,3.2,26,2025
15,Vietnam,VNM,SE Asia,67.1,70.0,45,80,72,58,85.0,77.8,44,72,1.3,45,80,72,3.0,3.0,22,2025
16,Brazil,BRA,S. America,65.7,68.0,48,68,58,75,82.5,75.6,44,72,1.32,48,68,58,3.5,3.2,22,2025
17,Mexico,MEX,N. America,59.0,62.0,44,64,48,64,80.0,61.1,40,68,1.38,44,64,48,4.0,4.5,20,2025
18,South Africa,ZAF,Africa,57.5,62.0,38,58,52,62,72.5,72.2,36,65,1.38,38,58,52,5.5,3.5,18,2025
19,Indonesia,IDN,SE Asia,56.7,58.0,40,72,52,52,75.0,68.9,36,56,1.42,40,72,52,5.0,3.8,18,2025
20,Kenya,KEN,Africa,51.0,55.0,32,58,64,52,60.0,64.4,32,42,1.45,32,58,64,8.0,4.2,16,2025
21,Myanmar,MMR,SE Asia,49.2,58.0,30,66,52,40,70.0,64.4,24,38,1.42,30,66,52,6.0,4.2,12,2025
22,Tanzania,TZA,Africa,44.0,45.0,20,62,86,36,50.0,53.3,20,24,1.55,20,62,86,10.0,5.2,10,2025
23,India,IND,South Asia,43.4,48.0,32,64,28,48,60.0,46.7,28,36,1.52,32,64,28,8.0,5.8,14,2025
24,Bangladesh,BGD,South Asia,42.8,52.0,26,60,36,46,57.5,53.3,20,34,1.48,26,60,36,8.5,5.2,10,2025
25,Nigeria,NGA,Africa,41.6,45.0,28,56,52,34,50.0,57.8,24,28,1.55,28,56,52,10.0,4.8,12,2025
26,Egypt,EGY,Africa/ME,40.9,48.0,30,62,20,24,67.5,55.6,16,45,1.52,30,62,20,6.5,5.0,8,2025
27,Ethiopia,ETH,Africa,38.9,38.0,18,58,82,30,40.0,50.0,16,18,1.62,18,58,82,12.0,5.5,8,2025
28,Mali,MLI,Africa,29.4,32.0,10,46,72,18,30.0,38.9,8,10,1.68,10,46,72,14.0,6.5,4,2025
29,Pakistan,PAK,South Asia,28.9,35.0,20,56,22,16,50.0,31.1,12,18,1.65,20,56,22,10.0,7.2,6,2025
30,Chad,TCD,Africa,25.8,30.0,10,44,64,10,25.0,33.3,8,8,1.7,10,44,64,15.0,7.0,4,2025
31,Niger,NER,Africa,22.3,25.0,8,44,44,10,20.0,33.3,8,8,1.75,8,44,44,16.0,7.0,4,2025
32,Yemen,YEM,Middle East,18.9,32.0,10,42,10,4,30.0,27.8,8,6,1.68,10,42,10,14.0,7.5,4,2025
33,Somalia,SOM,Africa,17.1,28.0,8,42,22,4,20.0,22.2,4,4,1.72,8,42,22,16.0,8.0,2,2025
34,Afghanistan,AFG,South Asia,16.7,28.0,10,38,18,2,30.0,16.7,4,4,1.72,10,38,18,14.0,8.5,2,2025
