# SHEtoken WEI Historical — 2022 | Global WEI: 55.0
# Event-reversal model from 2025 baseline
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,tier,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,population_weight,ticker,year,wei_version,data_source,verified,notes,data_source
1,Iceland,ISL,Europe,1,0.4,94.4,97.5,87.5,96.7,95.5,91.7,91.5,94.3,8.2,92.9,1.0,SHE-ISL,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
2,Norway,NOR,Europe,1,5.4,92.4,96.5,85.5,97.7,94.5,90.7,90.5,93.3,8.2,91.9,1.0,SHE-NOR,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
3,Finland,FIN,Europe,1,5.5,91.4,97.5,84.5,96.7,93.5,89.7,89.5,92.3,8.2,91.1,1.0,SHE-FIN,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
4,Sweden,SWE,Europe,1,10.4,90.4,96.5,86.5,96.7,94.5,88.7,90.5,93.3,10.2,91.1,1.0,SHE-SWE,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
5,Denmark,DNK,Europe,1,5.9,88.4,95.5,84.5,95.7,92.5,87.7,89.5,91.3,9.2,89.7,1.0,SHE-DNK,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
6,New Zealand,NZL,Oceania,1,5.1,87.4,96.5,82.5,95.7,91.5,86.7,87.5,89.3,13.2,88.3,1.0,SHE-NZL,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
7,Netherlands,NLD,Europe,1,17.5,83.4,95.5,81.5,96.7,89.5,84.7,87.5,89.3,12.2,87.1,1.0,SHE-NLD,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
8,Switzerland,CHE,Europe,1,8.7,82.4,95.5,81.5,96.7,88.5,83.7,87.5,87.3,10.2,86.7,1.0,SHE-CHE,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
9,Canada,CAN,N. America,1,38.2,84.4,96.5,79.5,95.7,90.5,83.7,86.5,89.3,14.2,86.7,1.0,SHE-CAN,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
10,Germany,DEU,Europe,1,83.2,83.4,94.5,80.5,94.7,89.5,84.7,86.5,88.3,12.2,86.4,1.0,SHE-DEU,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
11,Ireland,IRL,Europe,1,5.1,81.4,96.5,79.5,96.7,87.5,83.7,86.5,87.3,11.2,86.0,1.0,SHE-IRL,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
12,Australia,AUS,Oceania,1,25.9,81.4,95.5,78.5,95.7,89.5,82.7,85.5,87.3,16.1,85.2,1.0,SHE-AUS,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
13,Belgium,BEL,Europe,1,11.5,79.4,95.5,79.5,95.7,87.5,82.7,85.5,86.3,13.2,85.0,1.0,SHE-BEL,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
14,Austria,AUT,Europe,1,9.0,78.4,94.5,78.5,95.7,86.5,81.7,84.5,85.3,12.2,84.2,1.0,SHE-AUT,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
15,United Kingdom,GBR,Europe,1,67.0,78.4,95.5,77.5,94.7,86.5,81.7,83.5,86.3,16.1,83.7,1.0,SHE-GBR,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
16,France,FRA,Europe,1,67.4,77.4,94.5,77.5,94.7,85.5,80.7,83.5,85.3,15.2,83.1,1.0,SHE-FRA,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
17,Spain,ESP,Europe,1,47.4,75.4,95.5,75.5,94.7,84.5,80.7,82.5,84.3,14.2,82.4,1.0,SHE-ESP,2022,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
