# SHEtoken GPI Historical Trends 2015-2024
# Gender Poverty Index — 9 economic dimensions
# (c) 2026 SHE Foundation
#
iso_code,country,year,gpi_score,gpi_income_poverty,gpi_wealth,gpi_wage,gpi_labour_participation,gpi_financial_inclusion,gpi_food_security,gpi_time_poverty,gpi_land_ownership,gpi_social_protection,rank
SWE,Sweden,2015,90.7,98.0,77.0,86.0,83.0,94.5,98.5,94.7,89.0,96.0,1
ISL,Iceland,2015,89.7,98.0,76.0,82.0,84.0,93.5,98.5,93.6,87.0,94.5,2
NOR,Norway,2015,89.1,97.0,74.0,85.0,82.0,93.5,98.0,92.5,85.0,95.0,3
FIN,Finland,2015,87.8,96.0,72.0,83.0,80.0,93.5,97.0,90.3,83.0,95.0,4
DEU,Germany,2015,84.5,92.0,68.0,77.0,75.0,93.5,95.0,86.9,79.0,94.0,5
CAN,Canada,2015,84.4,90.0,66.0,75.0,78.0,93.5,96.0,89.2,79.0,93.0,6
AUS,Australia,2015,82.0,88.0,64.0,71.0,74.0,93.5,95.0,85.8,75.0,92.0,7
GBR,UK,2015,81.9,86.0,63.0,73.0,75.0,93.5,95.0,86.9,73.0,92.0,8
USA,USA,2015,80.1,83.5,60.0,74.0,76.0,89.5,93.5,84.7,71.0,89.0,9
JPN,Japan,2015,76.2,95.0,63.0,71.0,60.5,92.5,98.5,71.4,43.0,91.0,10
KOR,South Korea,2015,73.7,94.0,58.0,65.0,58.0,92.5,97.0,74.7,35.0,89.0,11
CHN,China,2015,71.5,70.0,54.0,76.0,69.5,69.5,89.5,82.0,54.5,78.5,12
THA,Thailand,2015,69.7,76.0,48.0,80.0,61.5,69.5,87.0,82.0,46.5,76.5,13
PHL,Philippines,2015,64.6,76.0,44.0,76.0,59.5,53.5,83.5,77.6,50.5,60.5,14
VNM,Vietnam,2015,64.6,68.0,41.0,78.0,69.5,49.5,84.5,79.8,42.5,68.5,15
BRA,Brazil,2015,63.2,66.0,44.0,66.0,55.5,66.5,82.0,77.6,42.5,68.5,16
MEX,Mexico,2015,56.2,60.0,40.0,61.0,44.0,55.5,79.5,63.1,38.5,64.5,17
ZAF,South Africa,2015,55.0,60.0,34.0,56.0,49.5,53.5,72.0,74.2,34.5,61.5,18
IDN,Indonesia,2015,54.2,56.0,36.0,70.0,49.5,43.5,74.5,70.9,34.5,52.5,19
KEN,Kenya,2015,48.5,53.0,28.0,56.0,61.5,43.5,59.5,66.4,30.5,38.5,20
MMR,Myanmar,2015,47.4,57.0,27.0,65.0,50.5,32.0,70.0,66.6,22.8,35.5,21
TZA,Tanzania,2015,42.3,44.0,17.0,61.0,84.5,28.0,50.0,55.5,18.8,21.5,22
IND,India,2015,41.1,48.0,28.0,62.0,28.5,36.5,59.5,48.7,26.5,32.5,23
