# SHEtoken WEI India State Historical Trends 2015-2024
# (c) 2026 SHE Foundation
#
state,state_code,ticker,year,wei_score,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score
Kerala,KL,SHE-KL,2015,58.4,75.0,92.5,60.0,85.5,48.0,51.0,49.0,43.5,50.5
Goa,GA,SHE-GA,2015,55.6,62.0,88.5,57.5,84.0,48.0,51.5,50.0,43.5,50.5
Tamil Nadu,TN,SHE-TN,2015,55.5,66.0,86.5,57.5,80.0,48.0,51.5,50.0,43.5,50.5
Mizoram,MZ,SHE-MZ,2015,53.0,56.0,88.5,49.5,78.0,48.0,51.5,50.0,43.5,50.5
Himachal Pradesh,HP,SHE-HP,2015,52.5,56.0,84.5,49.5,78.0,48.0,51.5,50.0,43.5,50.5
Meghalaya,ML,SHE-ML,2015,52.1,58.0,80.5,51.5,74.0,48.0,51.5,50.0,43.5,50.5
Telangana,TS,SHE-TS,2015,52.0,60.0,76.5,51.5,74.0,48.0,51.5,50.0,43.5,50.5
Karnataka,KA,SHE-KA,2015,51.9,58.0,76.5,53.5,74.0,48.0,51.5,50.0,43.5,50.5
Delhi,DL,SHE-DL,2015,51.7,52.0,82.5,51.5,76.0,48.0,51.5,50.0,43.5,50.5
Andhra Pradesh,AP,SHE-AP,2015,51.4,58.0,74.5,53.5,72.0,48.0,51.5,50.0,43.5,50.5
Maharashtra,MH,SHE-MH,2015,51.3,54.0,78.5,53.5,72.0,48.0,51.5,50.0,43.5,50.5
Manipur,MN,SHE-MN,2015,50.8,54.0,78.5,51.5,70.0,48.0,51.5,50.0,43.5,50.5
Gujarat,GJ,SHE-GJ,2015,50.5,50.0,76.5,53.5,72.0,48.0,51.5,50.0,43.5,50.5
Uttarakhand,UK,SHE-UK,2015,50.5,52.0,80.5,45.5,74.0,48.0,51.5,50.0,43.5,50.5
Punjab,PB,SHE-PB,2015,49.7,48.0,76.5,47.5,74.0,48.0,51.5,50.0,43.5,50.5
West Bengal,WB,SHE-WB,2015,46.5,49.5,70.5,42.0,68.0,41.5,51.5,46.5,43.5,50.5
Odisha,OD,SHE-OD,2015,46.0,46.0,68.5,39.5,64.0,48.0,50.0,50.0,43.5,50.5
Haryana,HR,SHE-HR,2015,45.9,40.0,70.5,43.5,64.0,47.0,51.5,50.0,43.5,50.5
Chhattisgarh,CG,SHE-CG,2015,45.3,46.0,66.5,37.5,60.0,48.0,51.5,50.0,43.5,50.5
Assam,AS,SHE-AS,2015,44.9,42.0,68.5,37.5,60.0,48.0,51.5,50.0,43.5,50.5
Rajasthan,RJ,SHE-RJ,2015,43.9,44.0,58.0,37.5,62.0,46.0,51.5,50.0,43.5,50.5
Madhya Pradesh,MP,SHE-MP,2015,43.7,42.0,62.5,35.5,58.0,48.0,51.5,50.0,43.5,50.5
Jharkhand,JH,SHE-JH,2015,42.7,40.0,60.5,33.5,56.0,48.0,51.5,50.0,43.5,50.5
Uttar Pradesh,UP,SHE-UP,2015,39.7,32.0,56.5,26.5,52.0,48.0,51.5,50.0,43.5,50.5
Bihar,BR,SHE-BR,2015,39.6,34.0,56.5,23.5,52.0,48.0,51.5,50.0,43.5,50.5
Kerala,KL,SHE-KL,2016,58.4,75.2,92.8,59.2,85.7,48.2,51.1,48.2,44.0,50.5
Goa,GA,SHE-GA,2016,55.8,62.1,88.8,57.7,84.2,48.2,51.6,50.2,44.0,50.5
Tamil Nadu,TN,SHE-TN,2016,55.7,66.2,86.8,57.7,80.2,48.2,51.6,50.2,44.0,50.5
Mizoram,MZ,SHE-MZ,2016,53.2,56.1,88.8,49.7,78.2,48.2,51.6,50.2,44.0,50.5
Himachal Pradesh,HP,SHE-HP,2016,52.8,56.1,84.8,49.7,78.2,48.2,51.6,50.2,44.0,50.5
Meghalaya,ML,SHE-ML,2016,52.3,58.1,80.8,51.7,74.2,48.2,51.6,50.2,44.0,50.5
Telangana,TS,SHE-TS,2016,52.2,60.1,76.8,51.7,74.2,48.2,51.6,50.2,44.0,50.5
Karnataka,KA,SHE-KA,2016,52.1,58.1,76.8,53.7,74.2,48.2,51.6,50.2,44.0,50.5
Delhi,DL,SHE-DL,2016,51.9,52.1,82.8,51.7,76.2,48.2,51.6,50.2,44.0,50.5
Andhra Pradesh,AP,SHE-AP,2016,51.6,58.1,74.8,53.7,72.2,48.2,51.6,50.2,44.0,50.5
Maharashtra,MH,SHE-MH,2016,51.5,54.1,78.8,53.7,72.2,48.2,51.6,50.2,44.0,50.5
Manipur,MN,SHE-MN,2016,51.0,54.1,78.8,51.7,70.2,48.2,51.6,50.2,44.0,50.5
Gujarat,GJ,SHE-GJ,2016,50.7,50.1,76.8,53.7,72.2,48.2,51.6,50.2,44.0,50.5
Uttarakhand,UK,SHE-UK,2016,50.7,52.1,80.8,45.7,74.2,48.2,51.6,50.2,44.0,50.5
Punjab,PB,SHE-PB,2016,49.9,48.1,76.8,47.7,74.2,48.2,51.6,50.2,44.0,50.5
West Bengal,WB,SHE-WB,2016,46.8,49.6,70.7,42.2,68.2,42.7,51.6,46.7,44.0,50.5
Odisha,OD,SHE-OD,2016,46.3,46.1,68.8,39.7,64.2,48.2,50.1,50.2,44.0,50.5
Haryana,HR,SHE-HR,2016,46.1,40.1,70.8,43.7,64.2,47.2,51.6,50.2,44.0,50.5
