# SHEtoken SVI Historical Trends 2015-2024
# Sexual Violence Index — WHO prevalence based
# Key events: India 2013 law reform, MeToo 2017,
#   Japan consent law 2023, Afghanistan collapse 2021
# (c) 2026 SHE Foundation
#
iso_code,country,year,svi_score,rank,who_lifetime_prevalence_pct,reporting_gap_pct,legal_framework_score,support_services_score,impunity_score,marital_rape_criminalised,conflict_sv_risk_score
NOR,Norway,2015,77.6,1,12.0,68.0,9.2,8.5,25.0,1,0
SWE,Sweden,2015,76.0,2,14.0,63.0,8.2,8.5,23.0,1,0
DNK,Denmark,2015,75.5,3,13.0,68.0,8.2,8.5,25.0,1,0
ISL,Iceland,2015,75.5,4,15.0,68.0,9.2,8.5,28.0,1,0
FIN,Finland,2015,73.9,5,12.0,73.0,8.2,7.5,31.0,1,0
DEU,Germany,2015,69.8,6,14.0,76.0,7.2,7.5,38.0,1,0
AUS,Australia,2015,66.8,7,19.0,88.0,8.2,7.5,38.0,1,0
CAN,Canada,2015,63.4,8,23.0,91.0,8.2,7.5,43.0,1,0
GBR,UK,2015,62.2,9,21.0,92.5,6.9,6.7,41.0,1,0
USA,USA,2015,58.7,10,19.0,98.0,6.9,7.2,68.0,1,0
KOR,South Korea,2015,58.0,11,14.0,98.0,6.2,5.5,78.0,1,0
TUR,Turkey,2015,48.5,12,23.5,98.0,5.2,3.5,90.0,1,0
BRA,Brazil,2015,47.9,13,31.5,96.0,6.2,5.5,84.0,1,0
PHL,Philippines,2015,47.0,14,25.5,94.0,5.2,3.5,90.0,1,1
JPN,Japan,2015,41.7,15,11.0,105.0,3.2,4.5,96.0,0,0
COL,Colombia,2015,41.3,16,31.5,93.0,4.7,4.0,84.0,1,4
ZAF,South Africa,2015,40.6,17,39.5,96.0,5.2,4.5,90.0,1,0
MEX,Mexico,2015,39.1,18,33.5,97.5,4.2,3.0,92.0,1,2
KEN,Kenya,2015,37.1,19,34.5,101.0,4.2,2.0,96.0,1,2
IND,India,2015,31.1,20,29.5,104.0,3.9,1.7,97.0,0,0
IDN,Indonesia,2015,30.5,21,27.5,101.0,3.2,2.5,97.0,0,1
EGY,Egypt,2015,29.4,22,29.0,99.0,2.4,1.8,96.0,0,0
IRN,Iran,2015,28.1,23,25.5,103.0,1.2,0.5,101.0,0,0
BGD,Bangladesh,2015,25.8,24,36.0,101.0,2.7,2.1,98.0,0,0
ETH,Ethiopia,2015,25.1,25,37.0,101.0,2.4,1.8,95.0,0,0
AFG,Afghanistan,2015,24.7,26,40.5,95.5,3.8,3.3,88.5,0,3
NGA,Nigeria,2015,24.4,27,31.0,100.0,1.4,1.5,97.0,0,2
PAK,Pakistan,2015,23.4,28,33.0,101.0,1.1,0.8,98.0,0,1
IRQ,Iraq,2015,21.8,29,29.0,101.0,1.4,0.8,99.0,0,5
NER,Niger,2015,20.9,30,36.5,99.5,2.3,1.8,97.5,0,4
MMR,Myanmar,2015,18.7,31,31.0,101.0,1.4,0.8,99.0,0,7.0
SDN,Sudan,2015,18.2,32,37.0,101.0,0.4,0.8,91.0,0,4.0
PSE,Palestine,2015,15.7,33,35.5,102.0,1.2,0.5,100.0,0,7.0
YEM,Yemen,2015,13.8,34,32.5,100.5,0.8,0.3,98.5,0,10
SOM,Somalia,2015,8.2,35,46.5,100.5,0.8,0.3,98.5,0,8
CAF,CAR,2015,6.2,36,46.5,100.5,0.8,0.3,98.5,0,10
SSD,South Sudan,2015,5.1,37,48.5,100.5,0.8,0.3,98.5,0,10
COD,DRC,2015,5.0,38,52.5,99.5,0.8,1.3,95.5,0,9.0
NOR,Norway,2016,77.9,1,11.9,67.5,9.25,8.55,24.5,1,0
SWE,Sweden,2016,76.3,2,13.9,62.5,8.25,8.55,22.5,1,0
DNK,Denmark,2016,75.8,3,12.9,67.5,8.25,8.55,24.5,1,0
ISL,Iceland,2016,75.8,4,14.9,67.5,9.25,8.55,27.5,1,0
FIN,Finland,2016,74.2,5,11.9,72.5,8.25,7.55,30.5,1,0
DEU,Germany,2016,70.1,6,13.9,75.5,7.25,7.55,37.5,1,0
AUS,Australia,2016,67.1,7,18.9,87.5,8.25,7.55,37.5,1,0
CAN,Canada,2016,63.7,8,22.9,90.5,8.25,7.55,42.5,1,0
GBR,UK,2016,62.5,9,20.9,92.0,6.95,6.75,40.5,1,0
USA,USA,2016,60.2,10,18.9,97.5,7.55,7.85,67.5,1,0
KOR,South Korea,2016,58.3,11,13.9,97.5,6.25,5.55,77.5,1,0
TUR,Turkey,2016,48.9,12,23.35,97.6,5.28,3.6,89.6,1,0
BRA,Brazil,2016,48.2,13,31.35,95.6,6.28,5.6,83.6,1,0
PHL,Philippines,2016,47.4,14,25.35,93.6,5.28,3.6,89.6,1,1
JPN,Japan,2016,41.9,15,10.9,104.5,3.25,4.55,95.5,0,0
COL,Colombia,2016,41.7,16,31.35,92.6,4.78,4.1,83.6,1,4
ZAF,South Africa,2016,41.0,17,39.35,95.6,5.28,4.6,89.6,1,0
MEX,Mexico,2016,39.5,18,33.35,97.1,4.28,3.1,91.6,1,2
KEN,Kenya,2016,37.4,19,34.35,100.6,4.28,2.1,95.6,1,2
IND,India,2016,31.4,20,29.35,103.6,3.98,1.8,96.6,0,0
IDN,Indonesia,2016,30.8,21,27.35,100.6,3.28,2.6,96.6,0,1
EGY,Egypt,2016,29.7,22,28.9,98.8,2.46,1.87,95.8,0,0
IRN,Iran,2016,28.4,23,25.35,102.6,1.28,0.6,100.6,0,0
NGA,Nigeria,2016,26.1,24,30.9,99.8,2.46,1.57,96.8,0,2
BGD,Bangladesh,2016,26.0,25,35.9,100.8,2.76,2.17,97.8,0,0
ETH,Ethiopia,2016,25.3,26,36.9,100.8,2.46,1.87,94.8,0,0
AFG,Afghanistan,2016,24.7,27,40.45,95.45,3.82,3.32,88.45,0,3
PAK,Pakistan,2016,23.6,28,32.9,100.8,1.16,0.87,97.8,0,1
IRQ,Iraq,2016,22.0,29,28.9,100.8,1.46,0.87,98.8,0,5
NER,Niger,2016,21.0,30,36.45,99.45,2.32,1.82,97.45,0,4
MMR,Myanmar,2016,19.0,31,30.9,100.8,1.46,0.87,98.8,0,7.0
SDN,Sudan,2016,18.4,32,36.9,100.8,0.46,0.87,90.8,0,4.0
PSE,Palestine,2016,16.0,33,35.35,101.6,1.28,0.6,99.6,0,7.0
YEM,Yemen,2016,13.9,34,32.45,100.45,0.82,0.32,98.45,0,10
SOM,Somalia,2016,8.3,35,46.45,100.45,0.82,0.32,98.45,0,8
CAF,CAR,2016,6.3,36,46.45,100.45,0.82,0.32,98.45,0,10
SSD,South Sudan,2016,5.2,37,48.45,100.45,0.82,0.32,98.45,0,10
COD,DRC,2016,5.0,38,52.45,99.45,0.82,1.32,95.45,0,9.0
NOR,Norway,2017,79.6,1,11.8,61.0,9.3,9.6,24.0,1,0
SWE,Sweden,2017,78.0,2,13.8,56.0,8.3,9.6,22.0,1,0
DNK,Denmark,2017,77.5,3,12.8,61.0,8.3,9.6,24.0,1,0
ISL,Iceland,2017,77.5,4,14.8,61.0,9.3,9.6,27.0,1,0
FIN,Finland,2017,75.9,5,11.8,66.0,8.3,8.6,30.0,1,0
DEU,Germany,2017,71.8,6,13.8,69.0,7.3,8.6,37.0,1,0
AUS,Australia,2017,68.8,7,18.8,81.0,8.3,8.6,37.0,1,0
CAN,Canada,2017,65.4,8,22.8,84.0,8.3,8.6,42.0,1,0
GBR,UK,2017,64.2,9,20.8,85.5,7.0,7.8,40.0,1,0
USA,USA,2017,61.3,10,18.8,91.0,7.3,8.6,67.0,1,0
KOR,South Korea,2017,60.0,11,13.8,91.0,6.3,6.6,77.0,1,0
TUR,Turkey,2017,49.3,12,23.2,97.2,5.36,3.7,89.2,1,0
BRA,Brazil,2017,49.2,13,31.2,91.2,6.36,5.7,83.2,1,0
PHL,Philippines,2017,47.8,14,25.2,93.2,5.36,3.7,89.2,1,1
JPN,Japan,2017,42.8,15,10.8,99.0,3.3,5.6,95.0,0,0
COL,Colombia,2017,42.1,16,31.2,92.2,4.86,4.2,83.2,1,4
ZAF,South Africa,2017,41.3,17,39.2,95.2,5.36,4.7,89.2,1,0
MEX,Mexico,2017,40.3,18,33.2,93.7,4.36,3.2,91.2,1,2
KEN,Kenya,2017,37.7,19,34.2,100.2,4.36,2.2,95.2,1,2
IND,India,2017,31.7,20,29.2,101.2,4.06,1.9,96.2,0,0
IDN,Indonesia,2017,31.1,21,27.2,100.2,3.36,2.7,96.2,0,1
EGY,Egypt,2017,29.9,22,28.8,98.6,2.52,1.94,95.6,0,0
IRN,Iran,2017,28.6,23,25.2,102.2,1.36,0.7,100.2,0,0
BGD,Bangladesh,2017,26.2,24,35.8,100.6,2.82,2.24,97.6,0,0
NGA,Nigeria,2017,25.6,25,30.8,99.6,2.02,1.64,96.6,0,2
ETH,Ethiopia,2017,25.5,26,36.8,100.6,2.52,1.94,94.6,0,0
AFG,Afghanistan,2017,24.8,27,40.4,95.4,3.84,3.34,88.4,0,3
PAK,Pakistan,2017,23.8,28,32.8,100.6,1.22,0.94,97.6,0,1
IRQ,Iraq,2017,22.3,29,28.8,100.6,1.52,0.94,98.6,0,5
NER,Niger,2017,21.1,30,36.4,99.4,2.34,1.84,97.4,0,4
MMR,Myanmar,2017,19.2,31,30.8,100.6,1.52,0.94,98.6,0,7.0
SDN,Sudan,2017,18.6,32,36.8,100.6,0.52,0.94,90.6,0,4.0
PSE,Palestine,2017,16.3,33,35.2,101.2,1.36,0.7,99.2,0,7.0
YEM,Yemen,2017,14.0,34,32.4,100.4,0.84,0.34,98.4,0,10
SOM,Somalia,2017,8.4,35,46.4,100.4,0.84,0.34,98.4,0,8
CAF,CAR,2017,6.4,36,46.4,100.4,0.84,0.34,98.4,0,10
SSD,South Sudan,2017,5.3,37,48.4,100.4,0.84,0.34,98.4,0,10
COD,DRC,2017,5.1,38,52.4,99.4,0.84,1.34,95.4,0,9.0
NOR,Norway,2018,79.2,1,11.7,63.5,9.35,9.15,23.5,1,0
SWE,Sweden,2018,77.6,2,13.7,58.5,8.35,9.15,21.5,1,0
DNK,Denmark,2018,77.1,3,12.7,63.5,8.35,9.15,23.5,1,0
ISL,Iceland,2018,77.1,4,14.7,63.5,9.35,9.15,26.5,1,0
FIN,Finland,2018,75.5,5,11.7,68.5,8.35,8.15,29.5,1,0
DEU,Germany,2018,71.4,6,13.7,71.5,7.35,8.15,36.5,1,0
AUS,Australia,2018,68.4,7,18.7,83.5,8.35,8.15,36.5,1,0
CAN,Canada,2018,65.0,8,22.7,86.5,8.35,8.15,41.5,1,0
GBR,UK,2018,63.8,9,20.7,88.0,7.05,7.35,39.5,1,0
USA,USA,2018,60.9,10,18.7,93.5,7.35,8.15,66.5,1,0
KOR,South Korea,2018,59.6,11,13.7,93.5,6.35,6.15,76.5,1,0
TUR,Turkey,2018,49.6,12,23.05,96.8,5.44,3.8,88.8,1,0
BRA,Brazil,2018,49.3,13,31.05,92.8,6.44,5.8,82.8,1,0
PHL,Philippines,2018,48.2,14,25.05,92.8,5.44,3.8,88.8,1,1
JPN,Japan,2018,42.6,15,10.7,101.5,3.35,5.15,94.5,0,0
COL,Colombia,2018,42.4,16,31.05,91.8,4.94,4.3,82.8,1,4
ZAF,South Africa,2018,41.7,17,39.05,94.8,5.44,4.8,88.8,1,0
MEX,Mexico,2018,40.4,18,33.05,94.8,4.44,3.3,90.8,1,2
KEN,Kenya,2018,38.0,19,34.05,99.8,4.44,2.3,94.8,1,2
IND,India,2018,32.0,20,29.05,101.8,4.14,2.0,95.8,0,0
IDN,Indonesia,2018,31.5,21,27.05,99.8,3.44,2.8,95.8,0,1
EGY,Egypt,2018,30.2,22,28.7,98.4,2.58,2.01,95.4,0,0
IRN,Iran,2018,28.9,23,25.05,101.8,1.44,0.8,99.8,0,0
BGD,Bangladesh,2018,26.4,24,35.7,100.4,2.88,2.31,97.4,0,0
NGA,Nigeria,2018,25.9,25,30.7,99.4,2.08,1.71,96.4,0,2
ETH,Ethiopia,2018,25.7,26,36.7,100.4,2.58,2.01,94.4,0,0
PAK,Pakistan,2018,24.9,27,32.7,100.4,1.88,1.01,97.4,0,1
AFG,Afghanistan,2018,24.9,28,40.35,95.35,3.86,3.36,88.35,0,3
IRQ,Iraq,2018,22.5,29,28.7,100.4,1.58,1.01,98.4,0,5
NER,Niger,2018,21.1,30,36.35,99.35,2.36,1.86,97.35,0,4
MMR,Myanmar,2018,19.4,31,30.7,100.4,1.58,1.01,98.4,0,7.0
SDN,Sudan,2018,18.8,32,36.7,100.4,0.58,1.01,90.4,0,4.0
PSE,Palestine,2018,16.6,33,35.05,100.8,1.44,0.8,98.8,0,7.0
YEM,Yemen,2018,14.1,34,32.35,100.35,0.86,0.36,98.35,0,10
SOM,Somalia,2018,8.4,35,46.35,100.35,0.86,0.36,98.35,0,8
CAF,CAR,2018,6.4,36,46.35,100.35,0.86,0.36,98.35,0,10
SSD,South Sudan,2018,5.3,37,48.35,100.35,0.86,0.36,98.35,0,10
COD,DRC,2018,5.2,38,52.35,99.35,0.86,1.36,95.35,0,9.0
NOR,Norway,2019,79.5,1,11.6,63.0,9.4,9.2,23.0,1,0
SWE,Sweden,2019,77.9,2,13.6,58.0,8.4,9.2,21.0,1,0
DNK,Denmark,2019,77.4,3,12.6,63.0,8.4,9.2,23.0,1,0
ISL,Iceland,2019,77.4,4,14.6,63.0,9.4,9.2,26.0,1,0
FIN,Finland,2019,75.8,5,11.6,68.0,8.4,8.2,29.0,1,0
DEU,Germany,2019,71.7,6,13.6,71.0,7.4,8.2,36.0,1,0
AUS,Australia,2019,68.7,7,18.6,83.0,8.4,8.2,36.0,1,0
CAN,Canada,2019,65.3,8,22.6,86.0,8.4,8.2,41.0,1,0
GBR,UK,2019,64.1,9,20.6,87.5,7.1,7.4,39.0,1,0
USA,USA,2019,61.2,10,18.6,93.0,7.4,8.2,66.0,1,0
KOR,South Korea,2019,59.9,11,13.6,93.0,6.4,6.2,76.0,1,0
TUR,Turkey,2019,50.0,12,22.9,96.4,5.52,3.9,88.4,1,0
BRA,Brazil,2019,49.7,13,30.9,92.4,6.52,5.9,82.4,1,0
PHL,Philippines,2019,48.5,14,24.9,92.4,5.52,3.9,88.4,1,1
JPN,Japan,2019,42.8,15,10.6,101.0,3.4,5.2,94.0,0,0
COL,Colombia,2019,42.8,16,30.9,91.4,5.02,4.4,82.4,1,4
ZAF,South Africa,2019,42.1,17,38.9,94.4,5.52,4.9,88.4,1,0
MEX,Mexico,2019,41.3,18,32.9,94.4,4.52,4.4,90.4,1,2
KEN,Kenya,2019,38.9,19,33.9,99.4,4.52,3.4,94.4,1,2
IND,India,2019,32.3,20,28.9,101.4,4.22,2.1,95.4,0,0
IDN,Indonesia,2019,31.8,21,26.9,99.4,3.52,2.9,95.4,0,1
EGY,Egypt,2019,30.4,22,28.6,98.2,2.64,2.08,95.2,0,0
IRN,Iran,2019,29.2,23,24.9,101.4,1.52,0.9,99.4,0,0
NGA,Nigeria,2019,27.9,24,30.6,99.2,3.14,2.38,96.2,0,2
BGD,Bangladesh,2019,26.6,25,35.6,100.2,2.94,2.38,97.2,0,0
ETH,Ethiopia,2019,25.9,26,36.6,100.2,2.64,2.08,94.2,0,0
AFG,Afghanistan,2019,25.0,27,40.3,95.3,3.88,3.38,88.3,0,3
PAK,Pakistan,2019,24.6,28,32.6,100.2,1.64,1.08,97.2,0,1
IRQ,Iraq,2019,22.7,29,28.6,100.2,1.64,1.08,98.2,0,5
NER,Niger,2019,21.2,30,36.3,99.3,2.38,1.88,97.3,0,4
MMR,Myanmar,2019,19.6,31,30.6,100.2,1.64,1.08,98.2,0,7.0
SDN,Sudan,2019,19.0,32,36.6,100.2,0.64,1.08,90.2,0,4.0
PSE,Palestine,2019,16.9,33,34.9,100.4,1.52,0.9,98.4,0,7.0
YEM,Yemen,2019,14.1,34,32.3,100.3,0.88,0.38,98.3,0,10
SOM,Somalia,2019,8.5,35,46.3,100.3,0.88,0.38,98.3,0,8
CAF,CAR,2019,6.5,36,46.3,100.3,0.88,0.38,98.3,0,10
SSD,South Sudan,2019,5.4,37,48.3,100.3,0.88,0.38,98.3,0,10
COD,DRC,2019,5.3,38,52.3,99.3,0.88,1.38,95.3,0,9.0
NOR,Norway,2020,78.7,1,11.5,62.5,9.45,8.25,26.5,1,0
SWE,Sweden,2020,77.1,2,13.5,57.5,8.45,8.25,24.5,1,0
DNK,Denmark,2020,76.6,3,12.5,62.5,8.45,8.25,26.5,1,0
ISL,Iceland,2020,76.6,4,14.5,62.5,9.45,8.25,29.5,1,0
FIN,Finland,2020,75.0,5,11.5,67.5,8.45,7.25,32.5,1,0
DEU,Germany,2020,70.9,6,13.5,70.5,7.45,7.25,39.5,1,0
AUS,Australia,2020,67.9,7,18.5,82.5,8.45,7.25,39.5,1,0
CAN,Canada,2020,64.5,8,22.5,85.5,8.45,7.25,44.5,1,0
GBR,UK,2020,63.3,9,20.5,87.0,7.15,6.45,42.5,1,0
USA,USA,2020,60.4,10,18.5,92.5,7.45,7.25,69.5,1,0
KOR,South Korea,2020,59.1,11,13.5,92.5,6.45,5.25,79.5,1,0
TUR,Turkey,2020,49.3,12,22.75,96.0,5.6,3.0,92.0,1,0
BRA,Brazil,2020,48.9,13,30.75,92.0,6.6,5.0,86.0,1,0
PHL,Philippines,2020,47.8,14,24.75,92.0,5.6,3.0,92.0,1,1
COL,Colombia,2020,42.1,15,30.75,91.0,5.1,3.5,86.0,1,4
JPN,Japan,2020,41.9,16,10.5,100.5,3.45,4.25,97.5,0,0
ZAF,South Africa,2020,41.4,17,38.75,94.0,5.6,4.0,92.0,1,0
MEX,Mexico,2020,40.3,18,32.75,94.0,4.6,3.0,94.0,1,2
KEN,Kenya,2020,37.9,19,33.75,99.0,4.6,2.0,98.0,1,2
IND,India,2020,31.5,20,28.75,101.0,4.3,1.2,99.0,0,0
IDN,Indonesia,2020,31.1,21,26.75,99.0,3.6,2.0,99.0,0,1
