# SHEtoken Women's Rights Partner Directory — Countries 2025
# Which countries should I partner with for women-focused work?
# Sorted by WEI score within region.
# (c) 2026 SHE Foundation
#
country,iso,region,wei_score,strength_sectors,flagship_programs,best_for,contact_entry_points,language,notes,year
Iceland,ISL,Europe,93.4,Equal pay certification | Women in boardrooms | Gender budgeting | Parental leave,Equal Pay Standard (ISO certification model) | Gender Equality Act (most comprehensive globally) | Parental leave 12 months shared,"Equal pay law design, corporate gender governance, gender-responsive budgeting, policy advocacy",Ministry of Social Affairs — gender equality division | Centre for Gender Equality Iceland | Confederation of Icelandic Employers,Icelandic / English,Iceland's equal pay certification is the global gold standard. Any corporate equal pay initiative should replicate this model.,2025
Sweden,SWE,Europe,91.0,Equal pay legislation | Parental leave models | Women's shelter infrastructure | Feminist foreign policy,"Sweden feminist foreign policy (2014, world's first) | SIDA gender mainstreaming | Swedish Equal Pay Standard","Policy advocacy, feminist foreign policy, equal pay law design, parental leave reform, shelter network models",SIDA (Swedish International Development Agency) | Swedish Women's Lobby | Nordic Information on Gender (NIKK),Swedish / English,Sweden's feminist foreign policy is the most comprehensive government gender framework globally. SIDA is a major funder.,2025
New Zealand,NZL,Oceania,86.6,Indigenous women's rights (Māori) | Equal pay legislation | Gender-responsive budgeting | Wellbeing economics,NZ Wellbeing Budget (gender lens) | Pay Equity Act 2020 | Māori women leadership programs,"Gender-responsive budgeting, indigenous women's rights, wellbeing economics, equal pay law",NZ Ministry for Women | Māori Women's Welfare League | Pacific Women's Watch NZ,English / Māori,NZ Wellbeing Budget is the world's most advanced gender-responsive national budget framework.,2025
India — Kerala,IND-KL,South Asia,73.6,Women's SHG / microfinance | Elder care | Digital inclusion | Health community workers | Women's cooperative enterprise,"Kudumbashree (46 lakh members, Asia's largest SHG network) | ASHA community health workers | Kerala Startup Mission women's track","NGOs wanting SHG model replication, microfinance partners, health system strengthening, cooperative enterprise",Kerala State Planning Board — gender division | Kudumbashree Mission (kudumbashree.org) | Kerala Women's Commission,Malayalam / English,Best state in India for women's partnership. Kudumbashree is the world's most replicable women's SHG model.,2025
Uruguay,URY,South America,68.0,National care system | Reproductive rights | Women in politics | Gender-responsive budgeting,Uruguay National Care System (SNIC) — state-funded care | Abortion legalised 2012 model | Gender parity electoral law,"Care economy policy, reproductive rights advocacy, Latin America gender policy reform",Uruguay Ministry of Social Development — gender division | Cotidiano Mujer | Mysu (sexual and reproductive rights),Spanish / English,Uruguay's National Care System is the world's best model for reducing women's unpaid care burden at state level.,2025
India — Gujarat,IND-GJ,South Asia,57.8,Women's labour rights | Microfinance | Informal sector workers | Legal aid | Women's cooperatives,SEWA (Self Employed Women's Association — 3.78M members) | SEWA Bank (pioneered global microfinance) | Mann Deshi Bank (100K+ women account holders),"Labour rights organisations, microfinance partners, informal economy researchers, cooperative development",SEWA (sewa.org) | Mann Deshi Foundation | Gujarat Mahila Housing SEWA Trust,Gujarati / Hindi / English,SEWA is one of the world's most influential women's labour organisations. Any microfinance or cooperative partner should start here.,2025
Rwanda,RWA,East Africa,57.2,Women in governance | Post-conflict women's rights | Women's land rights | ICT for women,61% women in parliament (world's highest) | Itorero women's civic education | Rwanda Girls in ICT (50K trained),"Political empowerment programs, post-conflict reconciliation, governance reform, women in tech",Rwanda Gender Monitoring Office | Gender Is My Agenda Campaign (GIMAC) | Rwanda Women's Network,Kinyarwanda / English / French,Best governance model for women's political inclusion globally. Any program working on women in parliament should study Rwanda.,2025
Colombia,COL,South America,51.0,Post-conflict women's rights | Reproductive rights | Women in peace processes | Afro-Colombian women's rights,Colombia Peace Agreement women's chapter | Casa de la Mujer | Ruta Pacífica de las Mujeres,"Post-conflict reconciliation, reproductive rights advocacy, indigenous and Afro-Colombian women's programs",Casa de la Mujer (casmujer.org) | Humanas Colombia | UN Women Colombia,Spanish / English,Colombia has the world's most sophisticated post-conflict women's rights framework. Peace agreement gender chapter is the model for conflict resolution.,2025
South Africa,ZAF,Southern Africa,50.8,Women in governance | Gender-based violence response | Women's economic inclusion | Femicide tracking,Commission for Gender Equality | Sonke Gender Justice (men + gender equality) | People Opposing Women Abuse (POWA),"GBV response infrastructure, gender commission model, men's engagement programs, femicide data methodology",Commission for Gender Equality (cge.org.za) | Sonke Gender Justice | Gender Links,English / Zulu / Xhosa,South Africa has the world's most sophisticated GBV response infrastructure despite high violence rates. Sonke is the global leader in men + gender equality programs.,2025
India — West Bengal,IND-WB,South Asia,50.0,Girls education programs | Cash transfer delivery | Women's enterprise | Cultural arts + women's voice,"Kanyashree (10M girls, UNESCO prize) | Lakshmi Bhandar (24.1M beneficiaries) | Rupashree (2.3M women)","Education NGOs, conditional cash transfer researchers, women's economic empowerment programs",West Bengal Women and Child Development Dept | UNICEF India Kolkata office | Pratichi Trust (Amartya Sen's organisation),Bengali / English,Strong government program infrastructure. Kanyashree is the most successful girls' education program in South Asia.,2025
India — Rajasthan,IND-RJ,South Asia,48.6,Girls education and enrollment | Child marriage prevention | Desert women's enterprise,"Educate Girls (6.7M beneficiaries, 380K girls enrolled) | Barefoot College (solar women engineers)","Girls education NGOs, child marriage prevention, rural women's skilling, solar/renewable energy sector",Educate Girls (educategirls.ngo) | Barefoot College (barefootcollege.org) | Rajasthan State Commission for Women,Hindi / English,Educate Girls is the world's most cost-effective girls' education intervention with verified outcome data.,2025
Bangladesh,BGD,South Asia,44.0,Girls education via stipends | Garment worker rights | Women's legal aid | Microfinance,"BRAC (world's largest NGO, 100M+ reached) | Grameen Bank (Nobel Prize microfinance) | BNWLA (legal aid for women)","Education stipends, garment worker welfare, microfinance, legal aid, disaster resilience",BRAC International (brac.net) | Grameen Bank women's programs | Bangladesh Legal Aid and Services Trust (BLAST),Bengali / English,"Despite AVOID rating for sourcing, Bangladesh has the world's strongest NGO ecosystem for women's development. BRAC and Grameen are globally replicable models.",2025
India — Bihar,IND-BR,South Asia,41.6,Rural women's enterprise | SHG banking | Village-level poverty reduction,"JEEViKA (1.04M SHGs, ₹11,000 crore credit leveraged) | Jehan Ara (women in tech training)","Rural enterprise development, poverty reduction, SHG-linked banking, agricultural value chains",Bihar Rural Livelihoods Promotion Society (JEEViKA) | BRLPS gender division | UNICEF Bihar office,Hindi / English,JEEViKA has the best data infrastructure for rural women's economic programs in India.,2025
Kenya,KEN,East Africa,40.3,Women's mobile financial services | Agricultural cooperatives | Women in tech | Legal aid | Sexual violence response,M-Pesa women agents (financial inclusion model) | UN Women Kenya Safe Cities program | Ushahidi (women's crisis mapping),"Fintech for women, agricultural supply chain, women in tech, urban safety programs",UN Women Kenya office | Kenya Women's Parliamentary Association | Strathmore University Women in Tech | Wangu Kanja Foundation (SGBV response),Swahili / English,East Africa's most sophisticated digital economy. M-Pesa model is the world's most replicated financial inclusion tool.,2025
