# SHEtoken Sexual Violence Index (SVI) — 2025
# PRIMARY MEASURE: WHO survey-based lifetime prevalence (NOT police reports)
# Reason: Police statistics severely undercount rape globally.
# High reported rate = better reporting infrastructure, NOT more rape.
# Reporting gap = % of incidents estimated NOT reported to police.
# SVI score: 100=safest, 0=most dangerous
#
# CRITICAL: Marital rape not criminalised in 36 countries.
# CRITICAL: Conflict-related sexual violence tracked separately.
# CRITICAL: Caste/ethnic targeting documented for India (Dalit women),
#           Canada/USA (indigenous women), South Africa, DRC.
#
# Sources: WHO Multi-Country Study, UNODC, UNHCR SGBV reports,
#          HRW country reports, national crime surveys (NCVS, NCRB etc.)
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,who_lifetime_prevalence_pct,unodc_reported_rate_per_100k,reporting_gap_pct,estimated_actual_rate_per_100k,marital_rape_criminalised,marital_rape_prevalence_pct,conflict_sv_risk_score,digital_sv_rate_pct,impunity_score,caste_ethnic_targeting,indigenous_women_elevated_risk,police_responsiveness_score,legal_framework_score,support_services_score,svi_score,notes,year
1,Norway,NOR,Europe,11.0,208,60,520,1,4.0,0,20,22,0,0,9,10,9,81.2,Among world's highest reported rates — reflects best practice reporting,2025
2,Sweden,SWE,Europe,13.0,188,55,418,1,5.0,0,22,20,0,0,8,9,9,79.7,Broad legal definition of rape + high reporting = high official rate,2025
3,Denmark,DNK,Europe,12.0,110,60,275,1,4.5,0,20,22,0,0,8,9,9,79.2,Strong survivor support system,2025
4,Iceland,ISL,Europe,14.0,152,60,380,1,5.0,0,18,25,0,0,9,10,9,79.1,High reporting reflects strong legal framework and trust in police,2025
5,Finland,FIN,Europe,11.0,95,65,271,1,4.0,0,18,28,0,0,8,9,8,77.5,High conviction rate relative to Nordic peers,2025
6,Germany,DEU,Europe,13.0,90,68,281,1,5.5,0,25,35,0,0,7,8,8,73.5,Consent-based law since 2016,2025
7,Australia,AUS,Oceania,18.0,91,80,455,1,7.5,0,26,35,1,1,7,9,8,70.4,Indigenous women 5x higher risk,2025
8,UK,GBR,Europe,20.0,79,83,465,1,7.0,0,28,38,0,0,7,9,8,68.4,"High prevalence, poor conviction rate (5.2%)",2025
9,Canada,CAN,N. America,22.0,98,83,576,1,8.5,0,24,40,1,1,7,9,8,67.0,MMIW crisis — indigenous women face extreme risk,2025
10,USA,USA,N. America,18.0,40,90,400,1,8.0,0,32,65,1,1,6,8,8,62.9,Only 23% reported (NCVS). Tribal land — federal jurisdiction gap leaves indigenous women unprotected,2025
11,South Korea,KOR,East Asia,13.0,22,90,220,1,6.0,0,22,75,0,0,6,7,6,61.7,High underreporting. Revenge porn epidemic.,2025
12,Turkey,TUR,Europe/Asia,22.0,15,94,250,1,12.0,0,26,88,0,0,3,6,4,51.7,Withdrew from Istanbul Convention 2021. Impunity high.,2025
13,Brazil,BRA,S. America,30.0,28,90,280,1,12.0,0,38,82,1,1,4,7,6,51.3,Rape every 11 minutes (IPEA). Maria da Penha law enforcement inconsistent. Black women face higher rates.,2025
14,Philippines,PHL,SE Asia,24.0,18,90,180,1,12.0,1,26,88,0,0,3,6,4,50.2,Safe Spaces Act 2019 — expanded protections. Implementation mixed.,2025
15,Japan,JPN,East Asia,10.0,4,95,80,0,6.0,0,18,88,0,0,6,6,5,48.6,Extreme underreporting. Marital rape not clearly criminalised until 2023 reform. Victims face intense social pressure to stay silent,2025
16,Colombia,COL,S. America,30.0,28,88,233,1,14.0,4,32,82,0,0,3,6,5,45.6,Conflict-related SGBV by guerrilla + paramilitary groups. Historic peace deal improved reporting.,2025
17,South Africa,ZAF,Africa,38.0,72,92,900,1,16.0,0,32,88,0,0,2,6,5,43.8,"Highest rape prevalence globally by some measures. 1 in 4 men admit rape in surveys. Strong law, poor enforcement.",2025
18,Mexico,MEX,N. America,32.0,20,92,250,1,14.0,2,34,90,0,1,3,5,4,42.7,Feminist emergency: 11 women killed daily. High impunity. 8 states with alerta de género.,2025
19,Kenya,KEN,Africa,33.0,6,97,200,1,15.0,2,26,94,0,0,2,5,3,40.3,Conflict-adjacent (Somalia border). High rates in refugee camps. Acid attacks on survivors who report.,2025
20,India,IND,South Asia,28.0,5,98,250,0,18.0,0,24,95,1,0,2,5,3,34.8,"NCRB 2022: 31,677 reported. WHO estimate: 300,000+. Marital rape not criminalised. Dalit women face caste-targeted sexual violence. 1 in 3 rapes by known person.",2025
21,Indonesia,IDN,SE Asia,26.0,4,97,133,0,16.0,1,22,95,0,0,2,4,3,33.5,Marital rape not criminalised. Religious courts handle some cases.,2025
22,Egypt,EGY,Africa/ME,28.0,6,97,200,0,16.0,0,22,96,0,0,2,3,2,31.3,Marital rape not criminalised. Tahrir Square mass assaults — no prosecutions.,2025
