# SHEtoken WEI Brazil States v3.0 — 2025
# 27 states | Brazil avg WEI: 54.2
# Key: Femicide rates vary 4x between states. Maria da Penha
# law enforcement highly inconsistent. North vs South gap.
# Sources: IBGE, SSP state secretariats, Ministerio da Saude
#
rank,state,state_code,ticker,region,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,previous_wei_score,change,hot,watch,country,year,wei_version,verified,notes
1,Federal District,DF,SHE-BR-DF,Center-West,3.1,68,90,66,82,68,60,62,72,36,67.2,66.7,0.5,false,false,Brazil,2025,3.0,false,
2,Rio Grande do Sul,RS,SHE-BR-RS,South,11.4,64,86,62,80,68,60,62,68,38,64.8,64.4,0.4,true,false,Brazil,2025,3.0,false,
3,Sao Paulo,SP,SHE-BR-SP,Southeast,46.6,62,86,64,80,68,58,60,70,42,64.0,63.2,0.8,true,false,Brazil,2025,3.0,false,
4,Santa Catarina,SC,SHE-BR-SC,South,7.7,60,86,62,80,66,58,60,66,34,63.6,63.5,0.1,true,false,Brazil,2025,3.0,false,
5,Parana,PR,SHE-BR-PR,South,11.6,58,84,58,78,62,56,58,64,40,60.4,60.3,0.1,false,false,Brazil,2025,3.0,false,
6,Espirito Santo,ES,SHE-BR-ES,Southeast,4.1,58,82,56,76,60,54,56,62,48,57.9,57.8,0.1,false,false,Brazil,2025,3.0,false,
7,Minas Gerais,MG,SHE-BR-MG,Southeast,21.3,58,82,56,76,60,52,54,60,46,57.5,57.4,0.1,false,false,Brazil,2025,3.0,false,
8,Rio de Janeiro,RJ,SHE-BR-RJ,Southeast,17.4,58,82,56,74,64,48,52,66,56,56.7,57.3,-0.6,false,true,Brazil,2025,3.0,false,
9,Goias,GO,SHE-BR-GO,Center-West,7.2,52,80,52,74,58,50,52,58,50,54.2,54.2,0.0,false,false,Brazil,2025,3.0,false,
10,Mato Grosso do Sul,MS,SHE-BR-MS,Center-West,2.8,52,80,50,74,56,50,50,56,52,53.1,53.1,0.0,false,false,Brazil,2025,3.0,false,
11,Mato Grosso,MT,SHE-BR-MT,Center-West,3.6,50,78,50,72,54,48,48,52,54,50.9,50.9,0.0,false,false,Brazil,2025,3.0,false,
12,Tocantins,TO,SHE-BR-TO,North,1.6,46,76,44,70,50,44,44,48,56,47.0,47.0,-0.0,false,false,Brazil,2025,3.0,false,
13,Rondonia,RO,SHE-BR-RO,North,1.8,46,76,44,70,48,44,44,46,56,46.5,46.5,-0.0,false,false,Brazil,2025,3.0,false,
14,Rio Grande do Norte,RN,SHE-BR-RN,Northeast,3.5,48,74,40,68,46,44,42,46,54,45.5,45.5,-0.0,false,false,Brazil,2025,3.0,false,
15,Ceara,CE,SHE-BR-CE,Northeast,9.2,46,74,40,68,44,42,42,44,54,44.4,44.5,-0.1,false,false,Brazil,2025,3.0,false,
16,Pernambuco,PE,SHE-BR-PE,Northeast,9.6,46,74,40,68,44,42,42,44,56,44.2,44.3,-0.1,false,false,Brazil,2025,3.0,false,
17,Bahia,BA,SHE-BR-BA,Northeast,14.9,46,72,40,68,44,42,42,44,56,44.0,44.1,-0.1,false,false,Brazil,2025,3.0,false,
18,Acre,AC,SHE-BR-AC,North,0.9,44,72,40,68,44,42,42,42,54,43.7,43.8,-0.1,false,false,Brazil,2025,3.0,false,
19,Roraima,RR,SHE-BR-RR,North,0.6,44,72,40,68,44,42,42,42,56,43.5,43.6,-0.1,false,false,Brazil,2025,3.0,false,
20,Paraiba,PB,SHE-BR-PB,Northeast,4.0,46,72,38,66,44,42,40,44,54,43.5,43.6,-0.1,false,false,Brazil,2025,3.0,false,
21,Amapa,AP,SHE-BR-AP,North,0.9,44,72,40,68,44,42,40,42,56,43.3,43.4,-0.1,false,false,Brazil,2025,3.0,false,
22,Amazonas,AM,SHE-BR-AM,North,4.3,44,72,38,68,44,40,40,42,56,42.8,42.9,-0.1,false,false,Brazil,2025,3.0,false,
23,Sergipe,SE,SHE-BR-SE,Northeast,2.3,44,72,38,66,42,40,40,42,58,42.0,42.1,-0.1,false,false,Brazil,2025,3.0,false,
24,Piaui,PI,SHE-BR-PI,Northeast,3.3,44,70,36,66,42,40,38,40,56,41.3,41.4,-0.1,false,false,Brazil,2025,3.0,false,
25,Para,PA,SHE-BR-PA,North,8.7,42,70,38,66,40,38,38,40,58,40.5,40.9,-0.4,false,true,Brazil,2025,3.0,false,
26,Alagoas,AL,SHE-BR-AL,Northeast,3.4,42,68,36,64,40,38,38,40,62,39.4,39.5,-0.1,false,true,Brazil,2025,3.0,false,
27,Maranhao,MA,SHE-BR-MA,Northeast,7.2,40,66,34,62,36,36,34,36,62,36.7,36.9,-0.2,false,true,Brazil,2025,3.0,false,
