# SHEtoken WEI Historical — 2021 | Global WEI: 54.5
# Event-reversal model from 2025 baseline
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,tier,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,population_weight,ticker,year,wei_version,data_source,verified,notes,data_source
1,Iceland,ISL,Europe,1,0.4,94.2,97.4,88.9,97.4,95.4,92.4,91.4,91.9,8.2,92.9,1.0,SHE-ISL,2021,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
2,Norway,NOR,Europe,1,5.4,92.2,96.4,86.9,98.4,94.4,91.4,90.4,90.9,8.2,91.9,1.0,SHE-NOR,2021,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
3,Finland,FIN,Europe,1,5.5,91.2,97.4,85.9,97.4,93.4,90.4,89.4,89.9,8.2,91.1,1.0,SHE-FIN,2021,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
4,Sweden,SWE,Europe,1,10.4,90.2,96.4,87.9,97.4,94.4,89.4,90.4,90.9,10.2,91.1,1.0,SHE-SWE,2021,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
5,Denmark,DNK,Europe,1,5.9,88.2,95.4,85.9,96.4,92.4,88.4,89.4,88.9,9.2,89.7,1.0,SHE-DNK,2021,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
6,New Zealand,NZL,Oceania,1,5.1,87.2,96.4,83.9,96.4,91.4,87.4,87.4,86.9,13.2,88.3,1.0,SHE-NZL,2021,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
7,Luxembourg,LUX,Europe,1,0.6,83.2,95.4,82.9,97.4,89.4,86.4,87.4,86.9,11.2,87.4,1.0,SHE-LUX,2021,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
8,Netherlands,NLD,Europe,1,17.5,83.2,95.4,82.9,97.4,89.4,85.4,87.4,86.9,12.2,87.1,1.0,SHE-NLD,2021,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
9,Canada,CAN,N. America,1,38.2,84.2,96.4,80.9,96.4,90.4,84.4,86.4,86.9,14.2,86.8,1.0,SHE-CAN,2021,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
10,Switzerland,CHE,Europe,1,8.7,82.2,95.4,82.9,97.4,88.4,84.4,87.4,84.9,10.2,86.7,1.0,SHE-CHE,2021,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
11,Germany,DEU,Europe,1,83.2,83.2,94.4,81.9,95.4,89.4,85.4,86.4,85.9,12.2,86.5,1.0,SHE-DEU,2021,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
