# SHEtoken WEI City Historical Trends 2015-2024
# Top 20 cities by population and data availability
# Key events: Delhi 2012/13 rape law reform, COVID 2020,
#   Jackson MS Dobbs 2022 (-18 bodily autonomy),
#   Kolkata Lakshmi Bhandar 2021, Mexico City feminist emergency 2019
# (c) 2026 SHE Foundation
#
city,slug,country_iso,ticker,year,wei_score,rank,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score
Oslo,oslo,NOR,SHE-NOR-OSLO,2015,90.0,1,89.5,96.0,84.7,95.0,92.8,89.5,90.5,88.0,8.5
Berlin,berlin,DEU,SHE-DEU-BERLIN,2015,84.1,2,82.5,94.0,78.7,93.0,86.8,82.5,83.5,82.0,12.5
New York City,new-york,USA,SHE-USA-NEW-YO,2015,79.5,3,79.0,94.0,74.7,83.0,82.8,77.5,76.5,84.0,18.5
London,london,GBR,SHE-GBR-LONDON,2015,78.7,4,73.5,94.0,72.7,87.0,82.8,79.0,76.5,82.0,20.5
Tokyo,tokyo,JPN,SHE-JPN-TOKYO,2015,77.9,5,66.5,96.0,66.7,95.0,75.3,75.0,80.5,80.0,8.5
Los Angeles,los-angeles,USA,SHE-USA-LOS-AN,2015,74.3,6,75.0,90.0,68.7,79.0,81.8,71.5,68.5,80.0,26.5
Kochi,kochi,IND,SHE-IND-KOCHI,2015,71.8,7,68.5,90.0,58.7,85.0,73.3,73.5,74.5,66.0,18.5
Mexico City,mexico-city,MEX,SHE-MEX-MEXICO,2015,63.4,8,58.0,86.0,60.7,77.0,68.8,62.5,60.5,68.0,40.5
Bengaluru,bengaluru,IND,SHE-IND-BENGAL,2015,61.8,9,60.5,86.0,58.7,77.0,60.8,57.5,60.5,68.0,38.5
Sao Paulo,sao-paulo,BRA,SHE-BRA-SAO-PA,2015,60.6,10,58.5,84.0,60.7,77.0,64.8,56.5,58.5,62.0,44.5
Mumbai,mumbai,IND,SHE-IND-MUMBAI,2015,60.0,11,60.5,86.0,55.2,79.0,58.8,54.5,60.5,62.5,42.5
Lagos,lagos,NGA,SHE-NGA-LAGOS,2015,54.3,12,54.5,74.0,54.7,65.0,62.8,50.5,52.5,58.0,46.5
Rio de Janeiro,rio,BRA,SHE-BRA-RIO,2015,53.8,13,54.5,82.0,52.7,73.0,58.8,47.5,52.5,58.0,58.5
Kolkata,kolkata,IND,SHE-IND-KOLKAT,2015,53.7,14,54.5,80.0,44.7,71.0,50.8,53.5,51.5,56.0,38.5
Delhi,delhi,IND,SHE-IND-DELHI,2015,52.8,15,56.5,82.0,50.7,75.0,50.8,49.5,52.5,67.0,71.0
Nairobi,nairobi,KEN,SHE-KEN-NAIROB,2015,50.4,16,52.5,78.0,49.2,61.0,48.8,48.5,48.5,54.0,44.5
Johannesburg,johannesburg,ZAF,SHE-ZAF-JOHANN,2015,50.0,17,58.5,82.0,54.7,69.0,52.8,41.0,50.5,54.0,75.5
Jackson MS,jackson-ms,USA,SHE-USA-JACKSO,2015,42.2,18,46.5,76.0,38.7,60.0,34.8,39.5,40.0,44.0,48.5
Dhaka,dhaka,BGD,SHE-BGD-DHAKA,2015,37.1,19,36.5,68.0,36.7,65.0,28.8,35.5,30.5,30.0,40.5
Karachi,karachi,PAK,SHE-PAK-KARACH,2015,25.1,20,26.5,52.0,26.7,60.5,14.8,21.5,20.5,16.0,44.5
Oslo,oslo,NOR,SHE-NOR-OSLO,2016,90.2,1,89.7,96.2,84.9,95.2,92.9,89.6,90.7,88.5,8.4
Berlin,berlin,DEU,SHE-DEU-BERLIN,2016,84.3,2,82.7,94.2,78.9,93.2,86.9,82.6,83.7,82.5,12.4
New York City,new-york,USA,SHE-USA-NEW-YO,2016,79.7,3,79.2,94.2,74.9,83.2,82.9,77.6,76.7,84.5,18.4
London,london,GBR,SHE-GBR-LONDON,2016,79.0,4,73.7,94.2,72.9,87.2,82.9,79.1,76.7,82.5,20.4
Tokyo,tokyo,JPN,SHE-JPN-TOKYO,2016,78.1,5,66.7,96.2,66.9,95.2,75.4,75.1,80.7,80.5,8.4
Los Angeles,los-angeles,USA,SHE-USA-LOS-AN,2016,74.5,6,75.2,90.2,68.9,79.2,81.9,71.6,68.7,80.5,26.4
Kochi,kochi,IND,SHE-IND-KOCHI,2016,72.0,7,68.7,90.2,58.9,85.2,73.4,73.6,74.7,66.5,18.4
Mexico City,mexico-city,MEX,SHE-MEX-MEXICO,2016,63.6,8,58.1,86.2,60.9,77.2,68.9,62.6,60.6,68.5,40.5
Bengaluru,bengaluru,IND,SHE-IND-BENGAL,2016,62.0,9,60.6,86.2,58.9,77.2,60.9,57.6,60.6,68.5,38.5
Sao Paulo,sao-paulo,BRA,SHE-BRA-SAO-PA,2016,60.8,10,58.6,84.2,60.9,77.2,64.9,56.6,58.6,62.5,44.5
Mumbai,mumbai,IND,SHE-IND-MUMBAI,2016,60.0,11,60.6,86.2,55.4,79.2,58.9,53.6,60.6,63.0,42.5
Lagos,lagos,NGA,SHE-NGA-LAGOS,2016,54.9,12,54.6,74.2,55.9,65.2,62.9,52.6,52.6,58.5,46.5
Rio de Janeiro,rio,BRA,SHE-BRA-RIO,2016,53.9,13,54.6,82.2,52.9,73.2,58.9,47.6,52.6,58.5,58.5
Kolkata,kolkata,IND,SHE-IND-KOLKAT,2016,53.8,14,54.6,80.2,44.9,71.2,50.9,53.6,51.6,56.5,38.5
Delhi,delhi,IND,SHE-IND-DELHI,2016,52.8,15,56.6,82.2,50.9,75.2,50.9,48.6,52.6,67.5,71.0
Nairobi,nairobi,KEN,SHE-KEN-NAIROB,2016,50.5,16,52.6,78.2,49.4,61.1,48.9,48.6,48.6,54.5,44.5
Johannesburg,johannesburg,ZAF,SHE-ZAF-JOHANN,2016,50.2,17,58.6,82.2,54.9,69.2,52.9,41.1,50.6,54.5,75.5
Jackson MS,jackson-ms,USA,SHE-USA-JACKSO,2016,42.4,18,46.6,76.2,38.9,60.1,34.9,39.6,40.1,44.5,48.5
Dhaka,dhaka,BGD,SHE-BGD-DHAKA,2016,37.3,19,36.6,68.2,36.9,65.2,28.9,35.6,30.6,30.4,40.5
Karachi,karachi,PAK,SHE-PAK-KARACH,2016,25.3,20,26.6,52.2,26.9,60.6,14.9,21.6,20.6,16.4,44.5
Oslo,oslo,NOR,SHE-NOR-OSLO,2017,90.3,1,89.8,96.4,85.1,95.3,93.0,89.7,90.8,88.9,8.4
Berlin,berlin,DEU,SHE-DEU-BERLIN,2017,84.9,2,82.8,94.4,79.1,93.3,87.0,85.7,83.8,82.9,12.4
New York City,new-york,USA,SHE-USA-NEW-YO,2017,80.9,3,82.3,94.4,75.1,83.3,83.0,81.7,76.8,84.9,18.4
London,london,GBR,SHE-GBR-LONDON,2017,79.8,4,75.8,94.4,73.1,87.3,83.0,82.2,76.8,82.9,20.4
Tokyo,tokyo,JPN,SHE-JPN-TOKYO,2017,78.4,5,66.8,96.4,67.1,95.3,75.5,76.2,80.8,80.9,8.4
Los Angeles,los-angeles,USA,SHE-USA-LOS-AN,2017,75.6,6,78.3,90.4,69.1,79.3,82.0,75.7,68.8,80.9,26.4
Kochi,kochi,IND,SHE-IND-KOCHI,2017,72.2,7,68.8,90.4,59.1,85.3,73.5,73.7,74.8,66.9,18.4
Mexico City,mexico-city,MEX,SHE-MEX-MEXICO,2017,63.8,8,58.3,86.4,61.1,77.3,69.0,62.7,60.8,68.9,40.4
Bengaluru,bengaluru,IND,SHE-IND-BENGAL,2017,62.2,9,60.8,86.4,59.1,77.3,61.0,57.7,60.8,68.9,38.4
Sao Paulo,sao-paulo,BRA,SHE-BRA-SAO-PA,2017,61.0,10,58.8,84.4,61.1,77.3,65.0,56.7,58.8,62.9,44.4
Mumbai,mumbai,IND,SHE-IND-MUMBAI,2017,60.5,11,60.8,86.4,55.6,79.3,59.0,55.7,60.8,63.4,42.4
Lagos,lagos,NGA,SHE-NGA-LAGOS,2017,54.9,12,54.8,74.4,55.6,65.3,63.0,51.7,52.8,58.9,46.4
Rio de Janeiro,rio,BRA,SHE-BRA-RIO,2017,54.1,13,54.8,82.4,53.1,73.3,59.0,47.7,52.8,58.9,58.4
Kolkata,kolkata,IND,SHE-IND-KOLKAT,2017,54.0,14,54.8,80.4,45.1,71.3,51.0,53.7,51.8,56.9,38.4
