# SHEtoken WEI India State Historical Trends 2015-2024
# (c) 2026 SHE Foundation
#
state,state_code,ticker,year,wei_score,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score
Kerala,KL,SHE-KL,2015,74.7,75.0,92.5,60.0,85.5,80.0,75.0,77.0,65.5,18.5
Goa,GA,SHE-GA,2015,69.0,62.0,88.5,57.5,84.0,70.0,69.5,72.0,67.5,20.5
Tamil Nadu,TN,SHE-TN,2015,65.8,66.0,86.5,57.5,80.0,66.0,65.5,66.0,58.5,24.5
Mizoram,MZ,SHE-MZ,2015,64.7,56.0,88.5,49.5,78.0,70.0,65.5,68.0,53.5,14.5
Meghalaya,ML,SHE-ML,2015,62.6,58.0,80.5,51.5,74.0,68.0,63.5,68.0,51.5,18.5
Himachal Pradesh,HP,SHE-HP,2015,61.9,56.0,84.5,49.5,78.0,62.0,63.5,66.0,55.5,22.5
Telangana,TS,SHE-TS,2015,58.8,60.0,76.5,51.5,74.0,58.0,59.5,60.0,55.5,30.5
Karnataka,KA,SHE-KA,2015,58.5,58.0,76.5,53.5,74.0,58.0,59.5,60.0,55.5,32.5
Manipur,MN,SHE-MN,2015,58.2,54.0,78.5,51.5,70.0,62.0,59.5,62.0,47.5,24.5
Andhra Pradesh,AP,SHE-AP,2015,57.9,58.0,74.5,53.5,72.0,56.0,59.5,60.0,53.5,28.5
Uttarakhand,UK,SHE-UK,2015,57.3,52.0,80.5,45.5,74.0,58.0,59.5,62.0,49.5,26.5
Maharashtra,MH,SHE-MH,2015,56.5,54.0,78.5,53.5,72.0,56.0,57.5,60.0,57.5,42.5
Delhi,DL,SHE-DL,2015,55.6,52.0,82.5,51.5,76.0,60.0,53.5,58.0,71.5,68.5
Gujarat,GJ,SHE-GJ,2015,55.6,50.0,76.5,53.5,72.0,54.0,53.5,56.0,53.5,26.5
Punjab,PB,SHE-PB,2015,55.5,48.0,76.5,47.5,74.0,56.0,57.5,60.0,51.5,30.5
West Bengal,WB,SHE-WB,2015,48.9,49.5,70.5,42.0,68.0,43.5,55.5,54.5,43.5,42.5
Odisha,OD,SHE-OD,2015,46.0,46.0,68.5,39.5,64.0,44.0,50.0,48.0,37.5,36.5
Haryana,HR,SHE-HR,2015,44.1,40.0,70.5,43.5,64.0,41.0,49.5,48.0,45.5,56.5
Chhattisgarh,CG,SHE-CG,2015,43.2,46.0,66.5,37.5,60.0,40.0,49.5,44.0,33.5,40.5
Assam,AS,SHE-AS,2015,42.3,42.0,68.5,37.5,60.0,38.0,47.5,44.0,35.5,42.5
Rajasthan,RJ,SHE-RJ,2015,41.3,44.0,58.0,37.5,62.0,34.0,47.5,44.0,35.5,38.5
Jharkhand,JH,SHE-JH,2015,38.4,40.0,60.5,33.5,56.0,34.0,45.5,38.0,29.5,38.5
Madhya Pradesh,MP,SHE-MP,2015,38.2,42.0,62.5,35.5,58.0,32.0,43.5,40.0,31.5,48.5
Bihar,BR,SHE-BR,2015,31.4,34.0,56.5,23.5,52.0,20.0,39.5,34.0,21.5,36.5
Uttar Pradesh,UP,SHE-UP,2015,25.6,32.0,56.5,26.5,52.0,16.0,33.5,28.0,15.5,68.5
Kerala,KL,SHE-KL,2016,74.7,75.2,92.8,59.2,85.7,80.2,75.1,76.2,66.0,18.4
Goa,GA,SHE-GA,2016,69.3,62.1,88.8,57.7,84.2,70.2,69.6,72.2,68.0,20.4
Tamil Nadu,TN,SHE-TN,2016,66.1,66.2,86.8,57.7,80.2,66.2,65.6,66.2,59.0,24.4
Mizoram,MZ,SHE-MZ,2016,64.9,56.1,88.8,49.7,78.2,70.2,65.6,68.2,54.0,14.4
Meghalaya,ML,SHE-ML,2016,62.8,58.1,80.8,51.7,74.2,68.2,63.6,68.2,52.0,18.4
Himachal Pradesh,HP,SHE-HP,2016,62.2,56.1,84.8,49.7,78.2,62.2,63.6,66.2,56.0,22.4
Telangana,TS,SHE-TS,2016,59.0,60.1,76.8,51.7,74.2,58.2,59.6,60.2,56.0,30.4
Karnataka,KA,SHE-KA,2016,58.7,58.1,76.8,53.7,74.2,58.2,59.6,60.2,56.0,32.5
Manipur,MN,SHE-MN,2016,58.5,54.1,78.8,51.7,70.2,62.2,59.6,62.2,48.0,24.4
Andhra Pradesh,AP,SHE-AP,2016,58.2,58.1,74.8,53.7,72.2,56.2,59.6,60.2,54.0,28.4
Uttarakhand,UK,SHE-UK,2016,57.6,52.1,80.8,45.7,74.2,58.2,59.6,62.2,50.0,26.4
Maharashtra,MH,SHE-MH,2016,56.7,54.1,78.8,53.7,72.2,56.2,57.6,60.2,58.0,42.5
Gujarat,GJ,SHE-GJ,2016,55.9,50.1,76.8,53.7,72.2,54.2,53.6,56.2,54.0,26.4
