# SHEtoken WEI Country Trends 2015-2024 — all pillars
# (c) 2026 SHE Foundation
#
iso_code,country,year,wei_score,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,tier
ISL,Iceland,2015,92.2,93.3,98.2,87.5,96.7,94.5,91.7,92.5,89.5,8.5,1
NOR,Norway,2015,91.2,91.3,97.2,85.5,97.7,93.5,90.7,91.5,88.5,8.5,1
FIN,Finland,2015,90.5,90.3,98.2,84.5,96.7,92.5,89.7,90.5,87.5,8.5,1
SWE,Sweden,2015,90.4,89.3,97.2,86.5,96.7,93.5,88.7,91.5,88.5,10.5,1
DNK,Denmark,2015,89.0,87.3,96.2,84.5,95.7,91.5,87.7,90.5,86.5,9.5,1
NZL,New Zealand,2015,87.7,86.3,97.2,82.5,95.7,90.5,86.7,88.5,84.5,13.5,1
NLD,Netherlands,2015,86.5,82.3,96.2,81.5,96.7,88.5,84.7,88.5,84.5,12.5,1
CAN,Canada,2015,86.1,83.3,97.2,79.5,95.7,89.5,83.7,87.5,84.5,14.5,1
CHE,Switzerland,2015,86.0,81.3,96.2,81.5,96.7,87.5,83.7,88.5,82.5,10.5,1
DEU,Germany,2015,85.8,82.3,95.2,80.5,94.7,88.5,84.7,87.5,83.5,12.5,1
IRL,Ireland,2015,85.4,80.3,97.2,79.5,96.7,86.5,83.7,87.5,82.5,11.5,1
AUS,Australia,2015,84.6,80.3,96.2,78.5,95.7,88.5,82.7,86.5,82.5,16.5,1
BEL,Belgium,2015,84.3,78.3,96.2,79.5,95.7,86.5,82.7,86.5,81.5,13.5,1
AUT,Austria,2015,83.5,77.3,95.2,78.5,95.7,85.5,81.7,85.5,80.5,12.5,1
GBR,United Kingdom,2015,83.0,77.3,96.2,77.5,94.7,85.5,81.7,84.5,81.5,16.5,1
FRA,France,2015,82.5,76.3,95.2,77.5,94.7,84.5,80.7,84.5,80.5,15.5,1
ESP,Spain,2015,81.8,74.3,96.2,75.5,94.7,83.5,80.7,83.5,79.5,14.5,1
USA,United States,2015,81.8,75.3,96.2,72.5,92.7,92.5,78.7,82.5,80.5,20.5,1
PRT,Portugal,2015,80.5,72.3,95.2,73.5,93.7,82.5,79.7,82.5,77.5,13.5,1
JPN,Japan,2015,79.9,66.3,97.2,70.5,97.7,78.5,77.7,82.5,79.5,7.5,1
ISR,Israel,2015,78.3,70.3,96.2,73.5,94.7,76.5,75.7,78.5,76.5,15.5,1
KOR,South Korea,2015,77.5,63.3,97.2,67.5,96.7,76.5,75.7,80.5,76.5,11.5,1
URY,Uruguay,2015,75.2,70.3,95.2,67.5,92.7,76.5,73.7,76.5,72.5,26.5,1
CHN,China,2015,65.5,59.3,90.7,62.5,87.2,60.0,61.7,63.5,60.5,22.8,2
ARG,Argentina,2015,64.8,57.3,90.7,56.5,88.2,68.0,61.7,65.5,62.5,36.8,2
UKR,Ukraine,2015,64.4,55.3,90.7,60.5,87.2,64.0,59.7,63.5,60.5,28.8,2
CHL,Chile,2015,62.8,53.3,89.7,55.5,87.2,64.0,59.7,63.5,60.5,34.8,2
RUS,Russia,2015,61.7,53.3,89.7,58.5,85.2,60.0,55.7,59.5,56.5,26.8,2
KAZ,Kazakhstan,2015,61.2,51.3,89.7,58.5,85.2,58.0,57.7,59.5,54.5,26.8,2
PHL,Philippines,2015,60.7,62.3,88.7,56.5,79.2,58.0,55.7,57.5,54.5,32.8,2
VNM,Vietnam,2015,60.7,55.3,87.7,54.5,85.2,54.0,57.7,57.5,52.5,20.8,2
THA,Thailand,2015,60.2,54.3,85.7,56.5,85.2,56.0,55.7,57.5,54.5,26.8,2
LKA,Sri Lanka,2015,58.5,53.3,89.7,50.5,82.2,56.0,53.7,55.5,50.5,26.8,2
BRA,Brazil,2015,58.4,52.3,87.7,52.5,85.2,62.0,53.7,57.5,54.5,44.8,2
COL,Colombia,2015,56.4,49.3,87.7,48.5,84.2,54.0,53.7,57.5,54.5,42.8,2
MNG,Mongolia,2015,56.1,52.3,88.7,50.5,81.2,52.0,51.7,53.5,50.5,36.8,2
MEX,Mexico,2015,53.9,44.3,85.7,46.5,82.2,56.0,49.7,55.5,52.5,46.8,2
RWA,Rwanda,2015,53.8,61.3,81.7,46.5,69.2,50.0,53.7,51.5,42.5,34.8,2
TUR,Turkey,2015,53.8,45.3,79.7,50.5,83.2,50.0,49.7,53.5,50.5,34.8,2
BOL,Bolivia,2015,52.9,49.3,85.7,46.5,79.2,50.0,49.7,51.5,46.5,40.8,2
TUN,Tunisia,2015,52.8,43.3,82.7,46.5,79.2,48.0,49.7,51.5,48.5,28.8,2
NAM,Namibia,2015,52.4,52.3,85.7,48.5,73.2,50.0,51.7,51.5,48.5,50.8,2
BWA,Botswana,2015,52.3,53.3,84.7,50.5,71.2,50.0,49.7,51.5,46.5,46.8,2
PER,Peru,2015,52.3,47.3,85.7,46.5,79.2,48.0,49.7,51.5,46.5,40.8,2
IDN,Indonesia,2015,50.8,41.3,79.7,46.5,75.2,48.0,47.7,49.5,46.5,30.8,2
ZAF,South Africa,2015,49.9,53.3,82.7,48.5,75.2,52.0,45.7,51.5,48.5,70.8,2
HND,Honduras,2015,48.1,45.3,82.7,44.5,77.2,46.0,45.7,47.5,42.5,54.8,2
MAR,Morocco,2015,47.2,37.3,73.7,40.5,77.2,42.0,45.7,45.5,40.5,26.8,2
KEN,Kenya,2015,45.6,45.3,77.7,42.5,65.2,42.0,43.7,43.5,38.5,40.8,2
GHA,Ghana,2015,45.5,42.3,79.7,40.5,67.2,40.0,43.7,43.5,38.5,36.8,2
IND,India,2015,44.5,43.8,71.7,39.5,65.2,40.0,47.7,41.0,38.5,38.8,2
MMR,Myanmar,2015,38.7,38.8,68.7,41.0,66.2,29.5,37.7,34.0,29.0,42.5,3
KHM,Cambodia,2015,37.9,28.8,70.7,37.0,68.2,31.5,33.7,34.0,29.0,32.5,3
BGD,Bangladesh,2015,37.4,36.3,66.7,35.0,64.2,29.5,35.7,34.0,31.0,38.5,3
LAO,Laos,2015,36.3,28.8,68.7,35.0,66.2,27.5,31.7,32.0,27.0,28.5,3
JOR,Jordan,2015,36.2,20.8,76.7,29.0,76.2,25.5,29.7,30.0,29.0,26.5,3
NPL,Nepal,2015,35.6,32.8,64.7,33.0,62.2,27.5,33.7,32.0,29.0,34.5,3
GTM,Guatemala,2015,34.2,30.8,66.7,35.0,70.2,27.5,29.7,30.0,27.0,50.5,3
EGY,Egypt,2015,32.3,20.8,66.7,31.0,70.2,19.5,27.7,28.0,25.0,30.5,3
ZWE,Zimbabwe,2015,29.3,28.8,68.7,29.0,54.2,21.5,27.7,24.0,21.0,48.5,3
AFG,Afghanistan,2015,28.5,33.3,52.2,30.0,29.7,25.0,26.7,25.0,22.5,21.2,4
UGA,Uganda,2015,28.4,30.8,62.7,29.0,52.2,21.5,27.7,24.0,21.0,50.5,3
TZA,Tanzania,2015,27.7,26.8,60.7,31.0,54.2,19.5,25.7,22.0,19.0,44.5,3
ZMB,Zambia,2015,27.3,26.8,60.7,31.0,52.2,19.5,25.7,22.0,19.0,46.5,3
NGA,Nigeria,2015,25.0,24.8,56.7,29.0,48.2,17.5,22.2,22.0,19.0,46.5,3
PNG,Papua New Guinea,2015,24.9,22.8,56.7,27.0,54.2,19.5,23.7,24.0,21.0,58.5,3
ETH,Ethiopia,2015,24.9,20.8,51.7,27.0,48.2,15.5,27.7,23.0,17.0,36.5,3
IRQ,Iraq,2015,24.7,14.8,54.7,21.0,66.2,15.5,21.7,20.0,15.0,34.5,3
CMR,Cameroon,2015,24.6,24.8,56.7,27.0,48.2,15.5,23.7,20.0,17.0,42.5,3
MOZ,Mozambique,2015,24.5,24.8,54.7,27.0,48.2,17.5,23.7,20.0,17.0,44.5,3
PAK,Pakistan,2015,24.1,20.8,46.7,28.5,58.2,15.5,21.7,22.0,17.0,42.5,3
CIV,Ivory Coast,2015,23.5,22.8,54.7,27.0,46.2,13.5,21.7,20.0,15.0,38.5,3
HTI,Haiti,2015,22.0,20.8,52.7,25.0,42.2,17.5,21.7,20.0,15.0,46.5,3
SDN,Sudan,2015,18.4,9.8,38.7,19.0,44.2,9.5,23.7,23.0,11.0,34.5,3
SYR,Syria,2015,15.1,15.3,43.2,16.0,43.7,11.0,12.7,11.0,9.5,50.2,4
MLI,Mali,2015,13.1,15.3,35.2,16.0,35.7,7.0,10.7,9.0,7.5,38.2,4
COD,DRC,2015,11.1,13.3,37.2,14.0,33.7,9.0,12.7,9.0,9.5,60.2,4
NER,Niger,2015,9.6,13.3,23.2,12.0,27.7,4.0,11.7,7.0,5.5,34.2,4
TCD,Chad,2015,9.4,11.3,27.2,14.0,29.7,5.0,8.7,7.0,5.5,40.2,4
YEM,Yemen,2015,9.0,9.3,27.2,12.0,35.7,7.0,10.7,9.0,5.5,54.2,4
SSD,South Sudan,2015,8.6,13.3,27.2,14.0,27.7,7.0,8.7,7.0,5.5,52.2,4
CAF,Central African Republic,2015,8.5,11.3,29.2,14.0,29.7,7.0,8.7,7.0,5.5,54.2,4
SOM,Somalia,2015,4.3,7.3,19.2,10.0,25.7,3.0,6.7,5.0,3.5,56.2,4
ISL,Iceland,2016,92.4,93.2,98.2,87.7,96.8,94.7,91.8,92.7,89.9,8.4,1
NOR,Norway,2016,91.4,91.2,97.2,85.7,97.8,93.7,90.8,91.7,88.9,8.4,1
FIN,Finland,2016,90.6,90.2,98.2,84.7,96.8,92.7,89.8,90.7,87.9,8.4,1
SWE,Sweden,2016,90.6,89.2,97.2,86.7,96.8,93.7,88.8,91.7,88.9,10.4,1
DNK,Denmark,2016,89.2,87.2,96.2,84.7,95.8,91.7,87.8,90.7,86.9,9.4,1
NZL,New Zealand,2016,87.8,86.2,97.2,82.7,95.8,90.7,86.8,88.7,84.9,13.4,1
NLD,Netherlands,2016,86.6,82.2,96.2,81.7,96.8,88.7,84.8,88.7,84.9,12.4,1
CHE,Switzerland,2016,86.2,81.2,96.2,81.7,96.8,87.7,83.8,88.7,82.9,10.4,1
CAN,Canada,2016,86.2,83.2,97.2,79.7,95.8,89.7,83.8,87.7,84.9,14.4,1
DEU,Germany,2016,85.9,82.2,95.2,80.7,94.8,88.7,84.8,87.7,83.9,12.4,1
IRL,Ireland,2016,85.5,80.2,97.2,79.7,96.8,86.7,83.8,87.7,82.9,11.4,1
AUS,Australia,2016,84.7,80.2,96.2,78.7,95.8,88.7,82.8,86.7,82.9,16.4,1
BEL,Belgium,2016,84.5,78.2,96.2,79.7,95.8,86.7,82.8,86.7,81.9,13.4,1
AUT,Austria,2016,83.7,77.2,95.2,78.7,95.8,85.7,81.8,85.7,80.9,12.4,1
GBR,United Kingdom,2016,83.2,77.2,96.2,77.7,94.8,85.7,81.8,84.7,81.9,16.4,1
FRA,France,2016,82.6,76.2,95.2,77.7,94.8,84.7,80.8,84.7,80.9,15.4,1
ESP,Spain,2016,81.9,74.2,96.2,75.7,94.8,83.7,80.8,83.7,79.9,14.4,1
USA,United States,2016,81.9,75.2,96.2,72.7,92.8,92.7,78.8,82.7,80.9,20.4,1
PRT,Portugal,2016,80.7,72.2,95.2,73.7,93.8,82.7,79.8,82.7,77.9,13.4,1
JPN,Japan,2016,80.0,66.2,97.2,70.7,97.8,78.7,77.8,82.7,79.9,7.5,1
ISR,Israel,2016,78.4,70.2,96.2,73.7,94.8,76.7,75.8,78.7,76.9,15.4,1
KOR,South Korea,2016,77.6,63.2,97.2,67.7,96.8,76.7,75.8,80.7,76.9,11.4,1
URY,Uruguay,2016,75.4,70.2,95.2,67.7,92.8,76.7,73.8,76.7,72.9,26.4,1
CHN,China,2016,65.8,59.3,90.9,62.8,87.5,60.2,61.9,63.8,61.1,22.7,2
ARG,Argentina,2016,65.1,57.3,90.9,56.8,88.5,68.2,61.9,65.8,63.1,36.7,2
UKR,Ukraine,2016,64.6,55.3,90.9,60.8,87.5,64.2,59.9,63.8,61.1,28.7,2
CHL,Chile,2016,63.0,53.3,89.9,55.8,87.5,64.2,59.9,63.8,61.1,34.7,2
RUS,Russia,2016,62.0,53.3,89.9,58.8,85.5,60.2,55.9,59.8,57.1,26.7,2
KAZ,Kazakhstan,2016,61.5,51.3,89.9,58.8,85.5,58.2,57.9,59.8,55.1,26.7,2
PHL,Philippines,2016,60.9,62.3,88.9,56.8,79.5,58.2,55.9,57.8,55.1,32.7,2
VNM,Vietnam,2016,60.9,55.3,87.9,54.8,85.5,54.2,57.9,57.8,53.1,20.7,2
THA,Thailand,2016,60.4,54.3,85.9,56.8,85.5,56.2,55.9,57.8,55.1,26.7,2
LKA,Sri Lanka,2016,58.8,53.3,89.9,50.8,82.5,56.2,53.9,55.8,51.1,26.7,2
BRA,Brazil,2016,58.7,52.3,87.9,52.8,85.5,62.2,53.9,57.8,55.1,44.7,2
COL,Colombia,2016,56.6,49.3,87.9,48.8,84.5,54.2,53.9,57.8,55.1,42.7,2
MNG,Mongolia,2016,56.3,52.3,88.9,50.8,81.5,52.2,51.9,53.8,51.1,36.7,2
MEX,Mexico,2016,54.1,44.3,85.9,46.8,82.5,56.2,49.9,55.8,53.1,46.7,2
RWA,Rwanda,2016,54.1,61.3,81.9,46.8,69.5,50.2,53.9,51.8,43.1,34.7,2
TUR,Turkey,2016,54.0,45.3,79.9,50.8,83.5,50.2,49.9,53.8,51.1,34.7,2
BOL,Bolivia,2016,53.2,49.3,85.9,46.8,79.5,50.2,49.9,51.8,47.1,40.7,2
TUN,Tunisia,2016,53.0,43.3,82.9,46.8,79.5,48.2,49.9,51.8,49.1,28.7,2
NAM,Namibia,2016,52.6,52.3,85.9,48.8,73.5,50.2,51.9,51.8,49.1,50.7,2
BWA,Botswana,2016,52.6,53.3,84.9,50.8,71.5,50.2,49.9,51.8,47.1,46.7,2
PER,Peru,2016,52.6,47.3,85.9,46.8,79.5,48.2,49.9,51.8,47.1,40.7,2
IDN,Indonesia,2016,51.0,41.3,79.9,46.8,75.5,48.2,47.9,49.8,47.1,30.7,2
ZAF,South Africa,2016,50.1,53.3,82.9,48.8,75.5,52.2,45.9,51.8,49.1,70.7,2
HND,Honduras,2016,48.4,45.3,82.9,44.8,77.5,46.2,45.9,47.8,43.1,54.7,2
MAR,Morocco,2016,47.4,37.3,73.9,40.8,77.5,42.2,45.9,45.8,41.1,26.7,2
KEN,Kenya,2016,45.8,45.3,77.9,42.8,65.5,42.2,43.9,43.8,39.1,40.7,2
GHA,Ghana,2016,45.7,42.3,79.9,40.8,67.5,40.2,43.9,43.8,39.1,36.7,2
IND,India,2016,44.7,43.8,71.9,39.8,65.5,40.2,47.9,41.2,39.1,38.7,2
MMR,Myanmar,2016,39.0,38.9,69.0,41.2,66.7,29.8,37.9,34.2,29.6,42.5,3
KHM,Cambodia,2016,38.2,28.9,71.0,37.2,68.7,31.8,33.9,34.2,29.6,32.5,3
BGD,Bangladesh,2016,37.7,36.4,67.0,35.2,64.7,29.8,35.9,34.2,31.6,38.5,3
LAO,Laos,2016,36.6,28.9,69.0,35.2,66.7,27.8,31.9,32.2,27.6,28.4,3
JOR,Jordan,2016,36.5,20.9,77.0,29.2,76.7,25.8,29.8,30.2,29.6,26.4,3
NPL,Nepal,2016,35.9,32.9,65.0,33.2,62.7,27.8,33.9,32.2,29.6,34.5,3
GTM,Guatemala,2016,34.5,30.9,67.0,35.2,70.7,27.8,29.8,30.2,27.6,50.5,3
EGY,Egypt,2016,32.6,20.9,67.0,31.2,70.7,19.8,27.8,28.2,25.6,30.4,3
ZWE,Zimbabwe,2016,29.6,28.9,69.0,29.2,54.7,21.8,27.8,24.2,21.6,48.5,3
UGA,Uganda,2016,28.7,30.9,63.0,29.2,52.7,21.8,27.8,24.2,21.6,50.5,3
AFG,Afghanistan,2016,28.6,33.1,52.2,30.1,30.0,25.1,26.8,25.1,22.8,21.2,4
TZA,Tanzania,2016,28.0,26.9,61.0,31.2,54.7,19.8,25.8,22.2,19.6,44.5,3
ZMB,Zambia,2016,27.5,26.9,61.0,31.2,52.7,19.8,25.8,22.2,19.6,46.5,3
NGA,Nigeria,2016,25.2,24.9,57.0,29.2,48.7,17.8,22.3,22.2,19.6,46.5,3
ETH,Ethiopia,2016,25.2,20.9,52.0,27.2,48.7,15.8,27.8,23.2,17.6,36.5,3
PNG,Papua New Guinea,2016,25.1,22.9,57.0,27.2,54.7,19.8,23.8,24.2,21.6,58.5,3
CMR,Cameroon,2016,24.9,24.9,57.0,27.2,48.7,15.8,23.8,20.2,17.6,42.5,3
IRQ,Iraq,2016,24.9,14.8,55.0,21.2,66.7,15.8,21.8,20.2,15.6,34.5,3
MOZ,Mozambique,2016,24.8,24.9,55.0,27.2,48.7,17.8,23.8,20.2,17.6,44.5,3
PAK,Pakistan,2016,24.4,20.9,47.0,28.7,58.7,15.8,21.8,22.2,17.6,42.5,3
CIV,Ivory Coast,2016,23.8,22.9,55.0,27.2,46.7,13.8,21.8,20.2,15.6,38.5,3
HTI,Haiti,2016,22.3,20.9,53.0,25.2,42.7,17.8,21.8,20.2,15.6,46.5,3
SDN,Sudan,2016,18.6,9.8,39.0,19.2,44.7,9.8,23.8,23.2,11.6,34.5,3
SYR,Syria,2016,15.2,15.1,43.2,16.1,44.0,11.1,12.8,11.1,9.8,50.2,4
MLI,Mali,2016,13.2,15.1,35.2,16.1,36.0,7.1,10.8,9.1,7.8,38.2,4
COD,DRC,2016,11.2,13.1,37.2,14.1,34.0,9.1,12.8,9.1,9.8,60.2,4
NER,Niger,2016,9.7,13.1,23.2,12.1,28.0,4.1,11.8,7.1,5.8,34.2,4
TCD,Chad,2016,9.5,11.1,27.2,14.1,30.0,5.1,8.8,7.1,5.8,40.2,4
YEM,Yemen,2016,9.0,9.1,27.2,12.1,36.0,7.1,10.8,9.1,5.8,54.2,4
SSD,South Sudan,2016,8.6,13.1,27.2,14.1,28.0,7.1,8.8,7.1,5.8,52.2,4
CAF,Central African Republic,2016,8.6,11.1,29.2,14.1,30.0,7.1,8.8,7.1,5.8,54.2,4
SOM,Somalia,2016,4.4,7.1,19.2,10.1,26.0,3.1,6.8,5.1,3.8,56.2,4
ISL,Iceland,2017,92.5,93.4,98.3,87.8,96.9,94.8,91.9,92.8,90.3,8.4,1
NOR,Norway,2017,91.5,91.4,97.3,85.8,97.9,93.8,90.9,91.8,89.3,8.4,1
FIN,Finland,2017,90.7,90.4,98.3,84.8,96.9,92.8,89.9,90.8,88.3,8.4,1
SWE,Sweden,2017,90.7,89.4,97.3,86.8,96.9,93.8,88.9,91.8,89.3,10.4,1
DNK,Denmark,2017,89.3,87.4,96.3,84.8,95.9,91.8,87.9,90.8,87.3,9.4,1
NZL,New Zealand,2017,87.9,86.4,97.3,82.8,95.9,90.8,86.9,88.8,85.3,13.4,1
NLD,Netherlands,2017,86.7,82.4,96.3,81.8,96.9,88.8,84.9,88.8,85.3,12.4,1
CAN,Canada,2017,86.4,83.4,97.3,79.8,95.9,89.8,83.9,87.8,85.3,14.4,1
CHE,Switzerland,2017,86.3,81.4,96.3,81.8,96.9,87.8,83.9,88.8,83.3,10.4,1
DEU,Germany,2017,86.1,82.4,95.3,80.8,94.9,88.8,84.9,87.8,84.3,12.4,1
IRL,Ireland,2017,85.7,80.4,97.3,79.8,96.9,86.8,83.9,87.8,83.3,11.4,1
AUS,Australia,2017,84.9,80.4,96.3,78.8,95.9,88.8,82.9,86.8,83.3,16.4,1
BEL,Belgium,2017,84.6,78.4,96.3,79.8,95.9,86.8,82.9,86.8,82.3,13.4,1
AUT,Austria,2017,83.8,77.4,95.3,78.8,95.9,85.8,81.9,85.8,81.3,12.4,1
GBR,United Kingdom,2017,83.3,77.4,96.3,77.8,94.9,85.8,81.9,84.8,82.3,16.4,1
FRA,France,2017,82.7,76.4,95.3,77.8,94.9,84.8,80.9,84.8,81.3,15.4,1
ESP,Spain,2017,82.1,74.4,96.3,75.8,94.9,83.8,80.9,83.8,80.3,14.4,1
USA,United States,2017,82.1,75.4,96.3,72.8,92.9,92.8,78.9,82.8,81.3,20.4,1
PRT,Portugal,2017,80.8,72.4,95.3,73.8,93.9,82.8,79.9,82.8,78.3,13.4,1
JPN,Japan,2017,80.2,66.4,97.3,70.8,97.9,78.8,77.9,82.8,80.3,7.4,1
ISR,Israel,2017,78.6,70.4,96.3,73.8,94.9,76.8,75.9,78.8,77.3,15.4,1
KOR,South Korea,2017,77.8,63.4,97.3,67.8,96.9,76.8,75.9,80.8,77.3,11.4,1
URY,Uruguay,2017,75.5,70.4,95.3,67.8,92.9,76.8,73.9,76.8,73.3,26.4,1
CHN,China,2017,66.1,59.6,91.3,63.0,87.9,60.4,62.0,64.0,61.7,22.6,2
ARG,Argentina,2017,65.4,57.6,91.3,57.0,88.9,68.4,62.0,66.0,63.7,36.6,2
UKR,Ukraine,2017,64.9,55.6,91.3,61.0,87.9,64.4,60.0,64.0,61.7,28.6,2
CHL,Chile,2017,63.3,53.6,90.3,56.0,87.9,64.4,60.0,64.0,61.7,34.6,2
RUS,Russia,2017,62.3,53.6,90.3,59.0,85.9,60.4,56.0,60.0,57.7,26.6,2
KAZ,Kazakhstan,2017,61.8,51.6,90.3,59.0,85.9,58.4,58.0,60.0,55.7,26.6,2
PHL,Philippines,2017,61.2,62.6,89.3,57.0,79.9,58.4,56.0,58.0,55.7,32.6,2
VNM,Vietnam,2017,61.2,55.6,88.3,55.0,85.9,54.4,58.0,58.0,53.7,20.6,2
THA,Thailand,2017,60.7,54.6,86.3,57.0,85.9,56.4,56.0,58.0,55.7,26.6,2
LKA,Sri Lanka,2017,59.1,53.6,90.3,51.0,82.9,56.4,54.0,56.0,51.7,26.6,2
BRA,Brazil,2017,59.0,52.6,88.3,53.0,85.9,62.4,54.0,58.0,55.7,44.6,2
COL,Colombia,2017,56.9,49.6,88.3,49.0,84.9,54.4,54.0,58.0,55.7,42.6,2
MNG,Mongolia,2017,56.6,52.6,89.3,51.0,81.9,52.4,52.0,54.0,51.7,36.6,2
MEX,Mexico,2017,54.4,44.6,86.3,47.0,82.9,56.4,50.0,56.0,53.7,46.6,2
RWA,Rwanda,2017,54.4,61.6,82.3,47.0,69.9,50.4,54.0,52.0,43.7,34.6,2
TUR,Turkey,2017,54.3,45.6,80.3,51.0,83.9,50.4,50.0,54.0,51.7,34.6,2
BOL,Bolivia,2017,53.5,49.6,86.3,47.0,79.9,50.4,50.0,52.0,47.7,40.6,2
TUN,Tunisia,2017,53.3,43.6,83.3,47.0,79.9,48.4,50.0,52.0,49.7,28.6,2
NAM,Namibia,2017,52.9,52.6,86.3,49.0,73.9,50.4,52.0,52.0,49.7,50.6,2
BWA,Botswana,2017,52.9,53.6,85.3,51.0,71.9,50.4,50.0,52.0,47.7,46.6,2
PER,Peru,2017,52.9,47.6,86.3,47.0,79.9,48.4,50.0,52.0,47.7,40.6,2
IDN,Indonesia,2017,51.3,41.6,80.3,47.0,75.9,48.4,48.0,50.0,47.7,30.6,2
ZAF,South Africa,2017,50.4,53.6,83.3,49.0,75.9,52.4,46.0,52.0,49.7,70.6,2
HND,Honduras,2017,48.7,45.6,83.3,45.0,77.9,46.4,46.0,48.0,43.7,54.6,2
MAR,Morocco,2017,47.7,37.6,74.3,41.0,77.9,42.4,46.0,46.0,41.7,26.6,2
KEN,Kenya,2017,46.1,45.6,78.3,43.0,65.9,42.4,44.0,44.0,39.7,40.6,2
GHA,Ghana,2017,46.0,42.6,80.3,41.0,67.9,40.4,44.0,44.0,39.7,36.6,2
IND,India,2017,44.9,44.1,72.3,39.0,65.9,40.4,48.0,41.5,39.7,38.6,2
MMR,Myanmar,2017,39.3,39.2,69.5,41.4,67.1,30.0,38.0,34.4,30.1,42.4,3
KHM,Cambodia,2017,38.5,29.2,71.5,37.4,69.1,32.0,34.0,34.4,30.1,32.4,3
BGD,Bangladesh,2017,38.0,36.7,67.5,35.4,65.1,30.0,36.0,34.4,32.1,38.4,3
LAO,Laos,2017,36.9,29.2,69.5,35.4,67.1,28.0,32.0,32.4,28.1,28.4,3
JOR,Jordan,2017,36.8,21.2,77.5,29.4,77.1,26.0,30.0,30.4,30.1,26.4,3
