# SHEtoken Women's Rights Partner Directory — Programs 2025
# Proven programs available for funding, replication, or partnership
# (c) 2026 SHE Foundation
#
name,country,iso,sector,pillar,scale,proven_outcome,contact,website,replicable,notes,year
Kanyashree,India — West Bengal,IND,Girls Education,education,10 million girls enrolled,"Reduced child marriage 40%, increased secondary enrollment 30%",West Bengal Women and Child Development Dept,kanyashree.gov.in,True,UNESCO prize winner 2017. Conditional cash transfer model. Cost: ~$20/girl/year. Most replicable girls education program globally.,2025
Educate Girls,India — Rajasthan / MP,IND,Girls Education,education,"6.7 million beneficiaries, 380,000 girls enrolled",97% retention rate. Development Impact Bond verified.,"Educate Girls, Udaipur",educategirls.ngo,True,World's first Development Impact Bond for girls' education. Cost-per-girl among lowest verified globally.,2025
Scotland Period Products Act,Scotland / UK,GBR,Period Poverty / Education,bodily_autonomy,National — all of Scotland,First country to make period products free by law (2021). School attendance improved measurably.,Scottish Government — Period Products team,gov.scot/period-products,True,Legislative model. Any government can replicate. Cost: ~£9M/year for population of 5.4M.,2025
Kudumbashree,India — Kerala,IND,Women's SHG / Economic Empowerment,economic,46 lakh (4.6M) members. Half of all Kerala families.,"Poverty reduction, women's income increase, political participation increase.","Kudumbashree Mission, Thiruvananthapuram",kudumbashree.org,True,World's most successful state-level women's SHG network. 25 years of data. Integrated with local government.,2025
SEWA (Self Employed Women's Association),India — Gujarat,IND,Informal Worker Rights / Microfinance,economic,3.78 million members across 20 states,"Increased income, reduced vulnerability, legal recognition of informal workers.","SEWA, Ahmedabad",sewa.org,True,Founded 1972. Pioneered global microfinance via SEWA Bank 1974. The model for informal worker organisation globally.,2025
Lakshmi Bhandar,India — West Bengal,IND,Direct Cash Transfer,dignity_welfare,"24.1 million beneficiaries. ₹1,500-1,700/month.",Direct financial autonomy for women. Poverty reduction. Women named as primary beneficiary (account owner).,West Bengal Finance Department,wb.gov.in,True,Largest state-level direct cash transfer to women globally. Account in woman's name is the key design feature.,2025
Iceland Equal Pay Certification,Iceland,ISL,Corporate Equal Pay,economic,National mandate — all companies 25+ employees,Measurable pay gap reduction. First country to make equal pay certification mandatory.,Iceland Ministry of Social Affairs,ministryofsocialaffairs.is,True,Companies must certify equal pay for equal work every 3 years. ISO 30415 certification basis. Any country can adopt this.,2025
New Zealand Pay Equity Act,New Zealand,NZL,Care Economy Pay Equity,economic,"55,000 care and support workers. 15-49% pay rise.",Historic pay equity settlement 2017. Care workers paid at par with comparable male-dominated work.,NZ Ministry for Women,women.govt.nz,True,Best model globally for closing the care economy wage gap. Directly addresses the time poverty and care trap issues.,2025
India One-Stop Crisis Centres (Sakhi),India,IND,GBV Response,safety_justice,700+ centres operational nationally,"Legal aid, shelter, counselling, medical in one place. Proven uptake and survivor satisfaction.",Ministry of Women and Child Development India,wcddelhiportal.nic.in,True,"One-stop model replicable globally. Integrates police, legal, medical, and shelter in one facility.",2025
Tostan Community-Led FGM Abandonment,Senegal,SEN,FGM Prevention,bodily_autonomy,"6,000+ communities abandoned FGM voluntarily",No coercion. Community-owned. Sustained abandonment verified 10+ years later.,"Tostan, Dakar",tostan.org,True,Only proven approach to FGM abandonment that lasts. Community Empowerment Program model. UNICEF partner.,2025
Ethiopia Land Certification Program,Ethiopia,ETH,Women's Land Rights,dignity_welfare,6 million women landholders registered,Domestic violence fell 33% in areas with female land titles. Women's investment in land increased 40%.,Ethiopian Ministry of Agriculture — land admin,landportal.org/ethiopia,True,Single most impactful land rights intervention documented. DV reduction from property rights is the counterintuitive finding.,2025
Guild of Service — Vrindavan Widows,India — Uttar Pradesh,IND,Widow Rehabilitation,dignity_welfare,"1,500+ widows with income and housing support","Vocational training, income generation, family reintegration support.","Guild of Service, New Delhi",guildofservice.org,True,Only documented scalable program for temple town widows. Supreme Court 2018 order cited their work.,2025
Rwanda Girls in ICT,Rwanda,RWA,Digital Skills / AI Readiness,digital_social,"50,000+ girls trained in ICT",Rwanda now has highest female ICT enrollment in Africa.,Rwanda Ministry of ICT,rdb.rw,True,"Best model in Africa for girls' digital skills. Government-led, school-integrated, employer-linked.",2025
Digital Sakhi India,India,IND,Rural Women's Digital Literacy,digital_social,"150,000 women digital champions in rural areas","Women teaching women in villages. Bank account access, government service access improved.",CSC e-Governance Services India,csc.gov.in,True,Best model for rural women's digital inclusion. Peer-to-peer model scales cheaply.,2025
