# SHEtoken Women's Vital Statistics — 2025
# Sources: UN WPP 2024, WHO GHO, UNICEF MICS, UNESCO UIS,
#          UNODC, World Bank Gender Data, ILO, Credit Suisse
# Weekly estimates = annual rates / 52 (modeled, not reported weekly)
# Generated: May 2026 | shetoken.org
#
country,iso_code,region,girls_born_per_1000_pop,life_expectancy_female,life_expectancy_male,le_gap_years,maternal_mortality_per_100k,girls_primary_enrollment_pct,girls_secondary_enrollment_pct,women_tertiary_enrollment_pct,child_marriage_rate_pct,fertility_rate,female_poverty_rate_pct,male_poverty_rate_pct,gender_poverty_gap_pct,gender_wealth_gap_pct,women_killed_by_partner_per_100k,female_labour_force_pct,gender_wage_gap_pct,women_with_bank_account_pct,girls_born_per_week_est,maternal_deaths_per_week_est,girls_drop_out_school_per_week_est,girls_married_under18_per_week_est,women_killed_by_partner_per_week_est,year
Iceland,ISL,Europe,11.2,84.2,81.0,3.2,3,99,99,73,0.3,1.71,2.0,1.8,0.2,82,0.5,82,8,99,43,0,6,0,0,2025
Norway,NOR,Europe,10.5,84.4,81.2,3.2,2,99,99,71,0.2,1.56,2.5,2.2,0.3,80,0.6,78,7,99,545,0,81,1,0,2025
Finland,FIN,Europe,9.2,84.6,79.4,5.2,3,99,99,70,0.2,1.46,3.0,2.5,0.5,79,0.7,76,8,99,487,0,72,1,0,2025
Sweden,SWE,Europe,11.1,84.7,81.5,3.2,4,99,99,72,0.1,1.66,2.5,2.0,0.5,81,0.8,80,7,99,1110,0,165,1,1,2025
Denmark,DNK,Europe,9.6,83.8,80.4,3.4,4,99,99,73,0.2,1.67,3.0,2.5,0.5,80,1.0,79,8,99,545,0,81,1,1,2025
Germany,DEU,Europe,8.4,83.2,78.7,4.5,7,99,99,68,0.2,1.53,5.0,4.0,1.0,76,1.2,73,18,99,6720,1,998,13,10,2025
Canada,CAN,N. America,10.1,84.1,80.4,3.7,8,99,99,69,0.3,1.44,4.0,3.5,0.5,78,1.5,76,17,99,3710,1,551,11,6,2025
Australia,AUS,Oceania,12.1,85.0,81.1,3.9,3,99,99,67,0.3,1.66,4.5,3.8,0.7,75,1.8,72,14,99,3013,0,447,9,4,2025
USA,USA,N. America,11.6,81.1,76.4,4.7,23,99,99,68,2.0,1.64,8.0,6.0,2.0,68,2.2,72,18,95,36919,17,5482,738,70,2025
UK,GBR,Europe,10.9,83.1,79.9,3.2,9,99,99,66,0.4,1.56,5.0,4.0,1.0,77,1.5,74,15,99,7022,1,1043,28,10,2025
Japan,JPN,East Asia,7.3,87.1,81.1,6.0,4,99,99,65,0.2,1.21,2.5,2.0,0.5,74,0.4,53,21,98,8823,1,1310,18,5,2025
South Korea,KOR,East Asia,6.9,85.6,80.3,5.3,11,99,99,68,0.2,0.88,3.0,2.5,0.5,72,0.5,58,30,98,3430,1,509,7,2,2025
Brazil,BRA,S. America,13.4,79.3,72.8,6.5,72,96,89,50,9.0,1.74,26.0,18.0,8.0,52,4.8,55,22,78,27444,40,5585,2470,98,2025
Mexico,MEX,N. America,17.2,77.8,72.1,5.7,83,97,88,48,15.0,2.08,28.0,20.0,8.0,50,5.5,46,22,68,21318,35,4733,3198,68,2025
India,IND,South Asia,17.5,70.7,68.9,1.8,103,94,74,28,23.0,2.01,24.0,16.0,8.0,38,28.0,27,30,53,236923,488,73683,54492,3791,2025
China,CHN,East Asia,10.5,80.5,75.5,5.0,23,99,94,50,3.0,1.09,8.0,6.0,2.0,60,1.2,62,18,80,142558,66,27229,4277,163,2025
Indonesia,IDN,SE Asia,16.8,74.6,70.6,4.0,173,97,85,36,14.0,2.3,18.0,12.0,6.0,45,12.0,48,23,58,44181,153,10935,6185,316,2025
